name,ein,category,address,city,state,zip_code,website,description,phone
DOLLYWOOD FOUNDATION,621348105,Other,111 E MAIN ST STE 2,SEVIERVILLE,TN,37862-3551,,"Other organization in SEVIERVILLE, TN with annual revenue of approximately $89M",
NYSARC INC,141437657,Human Services,471 ALBANY AVE,KINGSTON,NY,12401-2138,,"Human Services organization in KINGSTON, NY with annual revenue of approximately $89M",
DEFIANCE HOSPITAL INC,344446484,Health,100 MADISON AVE,TOLEDO,OH,43604-1516,,"Health organization in TOLEDO, OH with annual revenue of approximately $89M",
BRIDGEWATER COLLEGE,540506306,Education,402 E COLLEGE ST,BRIDGEWATER,VA,22812-1511,,"Education organization in BRIDGEWATER, VA with annual revenue of approximately $89M",
CHILDRENS ORTHOPAEDIC SURGERY FOUNDATION INC,042943146,Health,300 LONGWOOD AVENUE HU221,BOSTON,MA,02115-5724,,"Health organization in BOSTON, MA with annual revenue of approximately $89M",
LOMA LINDA - INLAND EMPIRE CONSORTIUM FOR HEALTHCARE EDUCATIO,461612773,Community,PO BOX 2000,LOMA LINDA,CA,92354-0200,,"Community organization in LOMA LINDA, CA with annual revenue of approximately $89M",
CALIFORNIA VIRTUAL ACADEMIES AT LOS ANGELES,205196718,Education,50 MORELAND RD,SIMI VALLEY,CA,93065-1659,,"Education organization in SIMI VALLEY, CA with annual revenue of approximately $89M",
FISHERMENS HEALTH INC,821682066,Health,3301 OVERSEAS HWY,MARATHON,FL,33050-2329,,"Health organization in MARATHON, FL with annual revenue of approximately $89M",
LOWER VALLEY HOSPITAL ASSOCIATION,840447998,Health,PO BOX 130,FRUITA,CO,81521-0130,,"Health organization in FRUITA, CO with annual revenue of approximately $89M",
ASSOCIATION OF GRADUATES OF THE UNITED STATES MILITARY ACADEMY,141260763,Community,698 MILLS RD,WEST POINT,NY,10996-1611,,"Community organization in WEST POINT, NY with annual revenue of approximately $89M",
TRINITY HEALTH OF THE MID-ATLANTIC REGION,232212638,Health,3805 WEST CHESTER PIKE STE 100,NEWTOWN SQ,PA,19073-2329,,"Health organization in NEWTOWN SQ, PA with annual revenue of approximately $89M",
MOSES CONE PHYSICIAN SERVICES INC,800249057,Health,1200 N ELM ST,GREENSBORO,NC,27401-1004,,"Health organization in GREENSBORO, NC with annual revenue of approximately $89M",
MARIS GROVE INC,550878964,Human Services,813 MAIDEN CHOICE LN,CATONSVILLE,MD,21228-3679,,"Human Services organization in CATONSVILLE, MD with annual revenue of approximately $89M",
GREAT LAKES BAY HEALTH CENTERS,381908328,Health,500 LAPEER AVE,SAGINAW,MI,48607-0000,,"Health organization in SAGINAW, MI with annual revenue of approximately $89M",
DRURY UNIVERSITY,440552049,Education,900 N BENTON AVE,SPRINGFIELD,MO,65802-3712,,"Education organization in SPRINGFIELD, MO with annual revenue of approximately $89M",
LOGAN HEALTH - WHITEFISH,810247969,Health,310 SUNNYVIEW LN,KALISPELL,MT,59901-3129,,"Health organization in KALISPELL, MT with annual revenue of approximately $89M",
MOSES CONE AFFILIATED PHYSICIANS INC,300554775,Health,1200 N ELM ST,GREENSBORO,NC,27401-1004,,"Health organization in GREENSBORO, NC with annual revenue of approximately $89M",
NEW YORK CITY BALLET INC,132947386,Arts & Culture,20 LINCOLN CENTER PLAZA,NEW YORK,NY,10023-6913,,"Arts & Culture organization in NEW YORK, NY with annual revenue of approximately $89M",
BROOKLYN DEFENDER SERVICES,113305406,Religion,177 LIVINGSTON STREET,BROOKLYN,NY,11201-7000,,"Religion organization in BROOKLYN, NY with annual revenue of approximately $89M",
HENDRIX COLLEGE,710236897,Education,1600 WASHINGTON AVE,CONWAY,AR,72032-4115,,"Education organization in CONWAY, AR with annual revenue of approximately $89M",
ASPIRE LIVING & LEARNING INC,030284103,Human Services,2096 AIRPORT RD,BARRE,VT,05641-8710,,"Human Services organization in BARRE, VT with annual revenue of approximately $89M",
CARTHAGE AREA HOSPITAL INC,150622079,Health,1001 WEST ST,CARTHAGE,NY,13619-9703,,"Health organization in CARTHAGE, NY with annual revenue of approximately $89M",
J HOWARD PEW FREEDOM TR,236234671,Community,GLENMEDE TR CO 1650 MKT ST 1200,PHILADELPHIA,PA,19103-0000,,"Community organization in PHILADELPHIA, PA with annual revenue of approximately $89M",
BROWN EMERGENCY MEDICINE,050486254,Health,110 ELM STREET 2ND FLOOR,PROVIDENCE,RI,02903-4626,,"Health organization in PROVIDENCE, RI with annual revenue of approximately $89M",
SIERRA CLUB FOUNDATION,946069890,Environment,2101 WEBSTER ST STE 1250,OAKLAND,CA,94612-3050,,"Environment organization in OAKLAND, CA with annual revenue of approximately $89M",
OLD COLONY YOUNG MENS CHRISTIAN ASSOCIATION INC,042125014,Human Services,320 MAIN STREET,BROCKTON,MA,02301-5340,,"Human Services organization in BROCKTON, MA with annual revenue of approximately $89M",
UPPER CHESAPEAKE MEDICAL SERVICES INC,521501734,Health,520 UPPER CHESAPEAKE DR STE 405,BEL AIR,MD,21014-4381,,"Health organization in BEL AIR, MD with annual revenue of approximately $89M",
