name,ein,category,address,city,state,zip_code,website,description,phone
EASTER SEALS SOUTHERN CALIFORNIA INC,943068149,Other,1063 MCGAW AVE STE 100,IRVINE,CA,92614-5554,,"Other organization in IRVINE, CA with annual revenue of approximately $535M",
CHRISTUS HEALTH SOUTHEAST TEXAS,760591590,Health,2830 CALDER ST,BEAUMONT,TX,77702-1809,,"Health organization in BEAUMONT, TX with annual revenue of approximately $533M",
SANDHILLS CENTER FOR MENTAL HEALTH DEVELOPMENTAL DISABILITIES & SUBST,560789563,Health,1100 7 LAKES DR,WEST END,NC,27376-9082,,"Health organization in WEST END, NC with annual revenue of approximately $532M",
BAKERRIPLEY,237062976,Human Services,4450 HARRISBURG BLVD,HOUSTON,TX,77011-4014,,"Human Services organization in HOUSTON, TX with annual revenue of approximately $532M",
COMMONWEALTH CHARTER ACADEMY CHARTER SCHOOL,743068519,Education,1 INNOVATION WAY,HARRISBURG,PA,17110-1171,,"Education organization in HARRISBURG, PA with annual revenue of approximately $531M",
STANFORD HEALTH CARE TRI-VALLEY,941429628,Health,1111 E STANLEY BLVD,LIVERMORE,CA,94550-4115,,"Health organization in LIVERMORE, CA with annual revenue of approximately $531M",
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WI,391199466,Health,PO BOX 44971,MADISON,WI,53744-4971,,"Health organization in MADISON, WI with annual revenue of approximately $531M",
LEHIGH VALLEY HOSPITAL POCONO,240795623,Health,PO BOX 4000,ALLENTOWN,PA,18105-4000,,"Health organization in ALLENTOWN, PA with annual revenue of approximately $531M",
TIFT REGIONAL HEALTH SYSTEM INC,453072990,Health,901 18TH ST E,TIFTON,GA,31794-3648,,"Health organization in TIFTON, GA with annual revenue of approximately $531M",
HOMESTEAD HOSPITAL INC,650232993,Health,975 BAPTIST WAY,HOMESTEAD,FL,33033-7600,,"Health organization in HOMESTEAD, FL with annual revenue of approximately $529M",
MAIN LINE HEALTHCARE,232359401,Health,240 N RADNOR CHESTER RD STE170,RADNOR,PA,19087-5170,,"Health organization in RADNOR, PA with annual revenue of approximately $527M",
GENESIS HEALTHCARE SYSTEM,310885513,Other,1135 MAPLE AVE,ZANESVILLE,OH,43701-0000,,"Other organization in ZANESVILLE, OH with annual revenue of approximately $527M",
COMMUNITY MEDICAL CENTER,240862246,Health,100 N ACADEMY AVE MC 49-70,DANVILLE,PA,17822-9800,,"Health organization in DANVILLE, PA with annual revenue of approximately $527M",
SENTARA RMH MEDICAL CENTER,540506331,Health,2010 HEALTH CAMPUS DR,ROCKINGHAM,VA,22801-8679,,"Health organization in ROCKINGHAM, VA with annual revenue of approximately $527M",
UNIVERSITY OF THE PACIFIC,941156266,Education,3601 PACIFIC AVE,STOCKTON,CA,95211-0110,,"Education organization in STOCKTON, CA with annual revenue of approximately $526M",
ADVOCATE SHERMAN HOSPITAL,362167920,Health,3075 HIGHLAND PKWY FL 6,DOWNERS GROVE,IL,60515-5563,,"Health organization in DOWNERS GROVE, IL with annual revenue of approximately $526M",
WHEELING HOSPITAL INC,550357057,Health,1 MEDICAL PARK,WHEELING,WV,26003-6379,,"Health organization in WHEELING, WV with annual revenue of approximately $524M",
PROVIDENCE HEALTH & SERVICES MT,810231793,Health,PO BOX 389672,SEATTLE,WA,98138-9672,,"Health organization in SEATTLE, WA with annual revenue of approximately $524M",
CATHOLIC MEDICAL CENTER,020315693,Health,100 MCGREGOR ST,MANCHESTER,NH,03102-3770,,"Health organization in MANCHESTER, NH with annual revenue of approximately $524M",
UNIVERSITY OF MINNESOTA FOUNDATION,416042488,Education,200 OAK ST SE STE 500,MINNEAPOLIS,MN,55455-2010,,"Education organization in MINNEAPOLIS, MN with annual revenue of approximately $524M",
BELMONT UNIVERSITY,620465076,Education,1900 BELMONT BLVD,NASHVILLE,TN,37212-3758,,"Education organization in NASHVILLE, TN with annual revenue of approximately $523M",
TANNER MEDICAL CENTER,800785570,Health,705 DIXIE ST,CARROLLTON,GA,30117-3818,,"Health organization in CARROLLTON, GA with annual revenue of approximately $522M",
HAMILTON MEDICAL CENTER INC,581519911,Health,PO BOX 1168,DALTON,GA,30722-1168,,"Health organization in DALTON, GA with annual revenue of approximately $522M",
HILLCREST BAPTIST MEDICAL CENTER,741161944,Health,301 N WASHINGTON AVE,DALLAS,TX,75246-1754,,"Health organization in DALLAS, TX with annual revenue of approximately $521M",
CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC,952801772,Health,1601 PRECISION PARK LN,SAN DIEGO,CA,92173-1345,,"Health organization in SAN DIEGO, CA with annual revenue of approximately $521M",
COOK CHILDRENS PHYSICIAN NETWORK,752485366,Health,801 7TH AVE,FORT WORTH,TX,76104-2733,,"Health organization in FORT WORTH, TX with annual revenue of approximately $521M",
AGNESIAN HEALTHCARE INC,390807236,Health,12800 CORPORATE HILL DR,SAINT LOUIS,MO,63131-1833,,"Health organization in SAINT LOUIS, MO with annual revenue of approximately $521M",
