name,ein,category,address,city,state,zip_code,website,description,phone
NATURAL RESOURCES DEFENSE COUNCIL INC,132654926,Environment,40 WEST 20TH STREET,NEW YORK,NY,10011-4211,,"Environment organization in NEW YORK, NY with annual revenue of approximately $204M",
VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK INC,150536614,Health,1050 W GENESEE ST,SYRACUSE,NY,13204-2243,,"Health organization in SYRACUSE, NY with annual revenue of approximately $203M",
COMMUNITY FOUNDATION OF TAMPA BAY INC,593001853,Community,4300 W CYPRESS ST STE 700,TAMPA,FL,33607-4157,,"Community organization in TAMPA, FL with annual revenue of approximately $203M",
GOODWILL RETAIL SERVICES INC,392040239,Human Services,6055 N 91ST ST,MILWAUKEE,WI,53225-1710,,"Human Services organization in MILWAUKEE, WI with annual revenue of approximately $203M",
TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE,451502252,Health,10864 TEXAS HEALTH TRL,FORT WORTH,TX,76244-4897,,"Health organization in FORT WORTH, TX with annual revenue of approximately $203M",
MERCY CLINICS INC,421193699,Health,1111 6TH AVENUE,DES MOINES,IA,50314-2610,,"Health organization in DES MOINES, IA with annual revenue of approximately $203M",
ST ELIZABETH MEDICAL CENTER,150532245,Health,111 HOSPITAL DR,UTICA,NY,13502-2517,,"Health organization in UTICA, NY with annual revenue of approximately $203M",
PATIENT ACCESS NETWORK FOUNDATION,201184743,Other,1032 15TH STREET NW SUITE 413,WASHINGTON,DC,20005-1502,,"Other organization in WASHINGTON, DC with annual revenue of approximately $203M",
GOOD SHEPHERD HEALTH CARE SYSTEM,930425580,Health,610 NW 11TH ST,HERMISTON,OR,97838-6601,,"Health organization in HERMISTON, OR with annual revenue of approximately $202M",
MERCY UNIVERSITY,131967321,Education,555 BROADWAY,DOBBS FERRY,NY,10522-1186,,"Education organization in DOBBS FERRY, NY with annual revenue of approximately $202M",
MERCY HOSPITAL ARDMORE INC,731500629,Health,1011 14TH AVE NW,ARDMORE,OK,73401-1828,,"Health organization in ARDMORE, OK with annual revenue of approximately $202M",
PROFESSIONAL CONTRACT SERVICES INC,742786094,Human Services,718 W FM 1626 BLDG 100,AUSTIN,TX,78748-3820,,"Human Services organization in AUSTIN, TX with annual revenue of approximately $202M",
UNIVERSITY HEALTH PHYSICIANS,431009163,Health,2310 HOLMES ST STE 800,KANSAS CITY,MO,64108-2602,,"Health organization in KANSAS CITY, MO with annual revenue of approximately $202M",
COH HOLDCO INC,873651176,Health,1500 DUARTE RD,DUARTE,CA,91010-3012,,"Health organization in DUARTE, CA with annual revenue of approximately $201M",
CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,362170821,Other,721 N LASALLE 6TH FLR,CHICAGO,IL,60654-3503,,"Other organization in CHICAGO, IL with annual revenue of approximately $201M",
FRANKLIN & MARSHALL COLLEGE,231352635,Education,PO BOX 3003,LANCASTER,PA,17604-3003,,"Education organization in LANCASTER, PA with annual revenue of approximately $201M",
FEINBERG GRADUATE SCHOOL OF THE WEIZMANN INSTITUTE OF SCIENCE,136227366,Education,633 THIRD AVENUE 20TH FLOOR,NEW YORK,NY,10017-8156,,"Education organization in NEW YORK, NY with annual revenue of approximately $201M",
ACTION AGAINST HUNGER USA,133327220,International,1 WHITEHALL ST FRNT 2,NEW YORK,NY,10004-2125,,"International organization in NEW YORK, NY with annual revenue of approximately $201M",
WENTWORTH INSTITUTE OF TECHNOLOGY,041958460,Education,550 HUNTINGTON AVE,BOSTON,MA,02115-5901,,"Education organization in BOSTON, MA with annual revenue of approximately $201M",
SAINT FRANCIS HEALTHCARE SYSTEM,430662499,Health,211 SAINT FRANCIS DR,CPE GIRARDEAU,MO,63703-5049,,"Health organization in CPE GIRARDEAU, MO with annual revenue of approximately $200M",
UNIVERSITY OF INDIANAPOLIS,350868107,Education,1400 E HANNA AVE,INDIANAPOLIS,IN,46227-3630,,"Education organization in INDIANAPOLIS, IN with annual revenue of approximately $200M",
CENTRAL PARK CONSERVANCY INC,133022855,Human Services,717 5TH AVENUE,NEW YORK,NY,10022-8101,,"Human Services organization in NEW YORK, NY with annual revenue of approximately $200M",
SAN FRANCISCO FOUNDATION,010679337,Community,1 EMBARCADERO CTR STE 1400,SAN FRANCISCO,CA,94111-3703,,"Community organization in SAN FRANCISCO, CA with annual revenue of approximately $200M",
OLEAN GENERAL HOSPITAL,160743102,Health,515 MAIN ST,OLEAN,NY,14760-1513,,"Health organization in OLEAN, NY with annual revenue of approximately $199M",
UNIVERSITY OF REDLANDS,951643389,Education,1200 E COLTON AVE,REDLANDS,CA,92374-3755,,"Education organization in REDLANDS, CA with annual revenue of approximately $199M",
HUDSON HEADWATERS HEALTH NETWORK,141628237,Health,9 CAREY RD,QUEENSBURY,NY,12804-7880,,"Health organization in QUEENSBURY, NY with annual revenue of approximately $199M",
BLUE MERIDIAN PARTNERS INC,815086187,Human Services,685 THIRD AVENUE 19TH FLOOR,NEW YORK,NY,10017-4049,,"Human Services organization in NEW YORK, NY with annual revenue of approximately $199M",
AMERICAN UNIVERSITY IN CAIRO,135647700,Education,420 LEXINGTON AVE RM 1644,NEW YORK,NY,10170-1699,,"Education organization in NEW YORK, NY with annual revenue of approximately $199M",
JENNIE STUART MEDICAL CENTER INC,610482973,Health,PO BOX 2400,HOPKINSVILLE,KY,42241-2400,,"Health organization in HOPKINSVILLE, KY with annual revenue of approximately $199M",
BAYSTATE ADMINISTRATIVE SERVICES INC,222747685,Health,759 CHESTNUT ST,SPRINGFIELD,MA,01199-0001,,"Health organization in SPRINGFIELD, MA with annual revenue of approximately $199M",
NORWICH UNIVERSITY,030179424,Education,158 HARMON DR,NORTHFIELD,VT,05663-1000,,"Education organization in NORTHFIELD, VT with annual revenue of approximately $198M",
LEHIGH VALLEY HOSPITAL-HAZLETON,232421970,Health,PO BOX 4000,ALLENTOWN,PA,18105-4000,,"Health organization in ALLENTOWN, PA with annual revenue of approximately $198M",
CHINESE-AMERICAN PLANNING COUNCIL HOME ATTENDANT PROGRAM INC,133203211,Health,1 YORK STREET 2ND FLOOR,NEW YORK,NY,10013-2123,,"Health organization in NEW YORK, NY with annual revenue of approximately $198M",
ANNE RAY FOUNDATION,471036008,Community,6889 ROWLAND RD,EDEN PRAIRIE,MN,55344-3209,,"Community organization in EDEN PRAIRIE, MN with annual revenue of approximately $198M",
ASBURY ATLANTIC INC,520607956,Human Services,5285 WESTVIEW DR STE 200,FREDERICK,MD,21703-8521,,"Human Services organization in FREDERICK, MD with annual revenue of approximately $198M",
INDEPENDENT CHARITABLE GIFT FUND,812576201,Community,110 W STREETSBORO ST STE 2A,HUDSON,OH,44236-2759,,"Community organization in HUDSON, OH with annual revenue of approximately $198M",
