name,ein,category,address,city,state,zip_code,website,description,phone
MOSAIC HEALTH INC,161293681,Health,1 S WASHINGTON ST STE 300,ROCHESTER,NY,14614-1134,,"Health organization in ROCHESTER, NY with annual revenue of approximately $40M",
NATIONAL INDUSTRIES FOR THE BLIND,135596799,Other,3000 POTOMAC AVE,ALEXANDRIA,VA,22305-3084,,"Other organization in ALEXANDRIA, VA with annual revenue of approximately $39M",
DSI DIVERSIFIED SOLUTIONS INC,822656495,Human Services,2920 10TH ST,COLUMBUS,IN,47201-6602,,"Human Services organization in COLUMBUS, IN with annual revenue of approximately $39M",
GEORGIA TECH FACILITIES INC,521442293,Education,225 NORTH AVENUE LYMAN HALL,ATLANTA,GA,30332-0001,,"Education organization in ATLANTA, GA with annual revenue of approximately $39M",
THOMAS COLLEGE,010263385,Education,180 W RIVER RD,WATERVILLE,ME,04901-5066,,"Education organization in WATERVILLE, ME with annual revenue of approximately $39M",
CONCORD HOSPITAL- FRANKLIN,851433123,Health,250 PLEASANT ST,CONCORD,NH,03301-7559,,"Health organization in CONCORD, NH with annual revenue of approximately $39M",
GATEWAY COMMUNITY HEALTH CENTER INC,742553409,Health,PO BOX 3397,LAREDO,TX,78044-3397,,"Health organization in LAREDO, TX with annual revenue of approximately $39M",
OATS INC,431016961,Human Services,2501 MAGUIRE BLVD,COLUMBIA,MO,65201-8252,,"Human Services organization in COLUMBIA, MO with annual revenue of approximately $39M",
EPISCOPAL RETIREMENT HOMES INC,310554071,Human Services,3870 VIRGINIA AVE,CINCINNATI,OH,45227-3431,,"Human Services organization in CINCINNATI, OH with annual revenue of approximately $39M",
PINELAWN CEMETERY,111190044,Other,PO BOX 420,FARMINGDALE,NY,11735-0420,,"Other organization in FARMINGDALE, NY with annual revenue of approximately $39M",
HABITAT FOR HUMANITY INTERNATIONAL,911342397,Other,500 NACHES AVE SW STE 200,RENTON,WA,98057-2293,,"Other organization in RENTON, WA with annual revenue of approximately $39M",
AMERICAN FRIENDS OF YAD ELIEZER INC,113459952,Human Services,410 GLENN RD,JACKSON,NJ,08527-2940,,"Human Services organization in JACKSON, NJ with annual revenue of approximately $39M",
BRIANS HOUSE INCORPORATED,231990596,Human Services,757 SPRINGDALE DR,EXTON,PA,19341-2829,,"Human Services organization in EXTON, PA with annual revenue of approximately $39M",
