name,ein,category,address,city,state,zip_code,website,description,phone
HOWARDCENTER INC,030179433,Human Services,102 S WINOOSKI AVE,BURLINGTON,VT,05401-7406,,"Human Services organization in BURLINGTON, VT with annual revenue of approximately $136M",
HOSPITAL FOR SPECIAL CARE,060646766,Health,2150 CORBIN AVE,NEW BRITAIN,CT,06053-2266,,"Health organization in NEW BRITAIN, CT with annual revenue of approximately $136M",
NORTHWESTERN MEDICAL CENTER INC,030266986,Health,133 FAIRFIELD ST,ST ALBANS,VT,05478-1726,,"Health organization in ST ALBANS, VT with annual revenue of approximately $135M",
DCI DONOR SERVICES INC,581990866,Health,566 MAINSTREAM DR STE 300,NASHVILLE,TN,37228-1234,,"Health organization in NASHVILLE, TN with annual revenue of approximately $135M",
UNITED MOVEMENT INC,383862033,Human Services,1010 N MAIN ST,LAS VEGAS,NV,89101-1011,,"Human Services organization in LAS VEGAS, NV with annual revenue of approximately $135M",
COGNIA INC,208613765,Education,9115 WESTSIDE PKWY,ALPHARETTA,GA,30009-8000,,"Education organization in ALPHARETTA, GA with annual revenue of approximately $135M",
ABODE SERVICES,943087060,Human Services,40849 FREMONT BLVD,FREMONT,CA,94538-4306,,"Human Services organization in FREMONT, CA with annual revenue of approximately $135M",
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,752890358,Health,1105 CENTRAL EXPRESSWAY NORTH,ALLEN,TX,75013-6103,,"Health organization in ALLEN, TX with annual revenue of approximately $135M",
UNIVERSITY OF ST THOMAS,741277664,Education,3800 MONTROSE BLVD,HOUSTON,TX,77006-4626,,"Education organization in HOUSTON, TX with annual revenue of approximately $135M",
EMMA L BIXBY MEDICAL CENTER,382796005,Health,100 MADISON AVE,TOLEDO,OH,43604-1516,,"Health organization in TOLEDO, OH with annual revenue of approximately $135M",
ROPER ST FRANCIS HOSPITAL-BERKELEY INC,263710229,Health,100 CALLEN BLVD,SUMMERVILLE,SC,29486-2807,,"Health organization in SUMMERVILLE, SC with annual revenue of approximately $135M",
LMW HEALTHCARE INC,460543230,Health,365 MONTAUK AVE,NEW LONDON,CT,06320-4700,,"Health organization in NEW LONDON, CT with annual revenue of approximately $135M",
AMERICAN MUSICAL & DRAMATIC ACADEMY,132501829,Other,211 W 61ST STREET,NEW YORK,NY,10023-7832,,"Other organization in NEW YORK, NY with annual revenue of approximately $135M",
ST JOHN HEALTH SYSTEM INC,731215174,Health,PO BOX 45998,SAINT LOUIS,MO,63145-5998,,"Health organization in SAINT LOUIS, MO with annual revenue of approximately $135M",
SOUTHEASTERN UNIVERSITY INC,590722789,Education,1000 LONGFELLOW BLVD,LAKELAND,FL,33801-6034,,"Education organization in LAKELAND, FL with annual revenue of approximately $135M",
QUEEN EMMA LAND COMPANY,990183769,Health,1301 PUNCHBOWL ST,HONOLULU,HI,96813-2413,,"Health organization in HONOLULU, HI with annual revenue of approximately $135M",
