name,ein,category,address,city,state,zip_code,website,description,phone
INDEPENDENCE MISSION SCHOOLS,454720688,Education,120 S WARNER RD STE 200,KNG OF PRUSSA,PA,19406-2801,,"Education organization in KNG OF PRUSSA, PA with annual revenue of approximately $34M",
SAN DIEGO COMIC CONVENTION,953072188,Other,4375 JUTLAND DR,SAN DIEGO,CA,92117-3600,,"Other organization in SAN DIEGO, CA with annual revenue of approximately $34M",
KETTERING ADVENTIST HEALTHCARE,311051688,Other,3965 SOUTHERN BLVD,KETTERING,OH,45429-1229,,"Other organization in KETTERING, OH with annual revenue of approximately $34M",
PARK SCHOOL CORPORATION,042104824,Education,171 GODDARD AVE,BROOKLINE,MA,02445-7412,,"Education organization in BROOKLINE, MA with annual revenue of approximately $34M",
DALLAS ZOO MANAGEMENT INC,270777846,Health,650 S R L THORNTON FWY,DALLAS,TX,75203-3013,,"Health organization in DALLAS, TX with annual revenue of approximately $34M",
ODYSSEY CHARTER SCHOOL INC,593579304,Education,1755 ELDRON BLVD SE,PALM BAY,FL,32909-6832,,"Education organization in PALM BAY, FL with annual revenue of approximately $34M",
BROWNSVILLE COMMUNITY DEVELOPMENT CORPORATION,112544630,Health,592 ROCKAWAY AVE,BROOKLYN,NY,11212-5539,,"Health organization in BROOKLYN, NY with annual revenue of approximately $34M",
PROVIDENCE PERFORMING ARTS CENTER,050377244,Arts & Culture,220 WEYBOSSET STREET,PROVIDENCE,RI,02903-3707,,"Arts & Culture organization in PROVIDENCE, RI with annual revenue of approximately $34M",
WESLEYAN COLLEGE,580593438,Education,4760 FORSYTH RD,MACON,GA,31210-4407,,"Education organization in MACON, GA with annual revenue of approximately $34M",
COMMIT2DALLAS,800790222,Education,3000 PEGASUS PARK DRIVE SUITE 900,DALLAS,TX,75247-6203,,"Education organization in DALLAS, TX with annual revenue of approximately $34M",
EVERSIGHT,382117115,Other,3985 RESEARCH PARK DRIVE,ANN ARBOR,MI,48108-2282,,"Other organization in ANN ARBOR, MI with annual revenue of approximately $34M",
MOORE COLLEGE OF ART AND DESIGN,231352236,Education,2OTH THE PARKWAY,PHILADELPHIA,PA,19103-0000,,"Education organization in PHILADELPHIA, PA with annual revenue of approximately $34M",
ASSOCIATION OF HUTTERIAN BRETHREN CHURCHES INC,460369923,Other,PO BOX 490,ABERDEEN,SD,57402-0490,,"Other organization in ABERDEEN, SD with annual revenue of approximately $34M",
INDIANA JEFFERSON RADIATION ONCOLOGY INC,900406301,Health,835 HOSPITAL RD,INDIANA,PA,15701-3629,,"Health organization in INDIANA, PA with annual revenue of approximately $34M",
STELLA MARIS HOUSE INC,592199601,Human Services,4790 N STATE ROAD 7,LAUD LAKES,FL,33319-5860,,"Human Services organization in LAUD LAKES, FL with annual revenue of approximately $34M",
