name,ein,category,address,city,state,zip_code,website,description,phone
JEWISH AGENCY FOR ISRAEL-NORTH AMERICAN COUNCIL,230053483,International,633 3RD AVENUE 32ND FLOOR SUITE C,NEW YORK,NY,10017-6706,,"International organization in NEW YORK, NY with annual revenue of approximately $51M",
UNITED WAY WORLDWIDE,131635294,Community,701 N FAIRFAX ST,ALEXANDRIA,VA,22314-2058,,"Community organization in ALEXANDRIA, VA with annual revenue of approximately $51M",
BOARD OF CHILD CARE OF THE UNITED METHODIST CHURCH INCORPORATED,520591554,Human Services,3300 GAITHER RD,BALTIMORE,MD,21244-2916,,"Human Services organization in BALTIMORE, MD with annual revenue of approximately $51M",
SPARROW CARSON HOSPITAL,381490180,Health,406 E ELM ST,CARSON CITY,MI,48811-9693,,"Health organization in CARSON CITY, MI with annual revenue of approximately $51M",
SCOTT & WHITE HOSPITAL BRENHAM,742519752,Health,301 N WASHINGTON AVE,DALLAS,TX,75246-1754,,"Health organization in DALLAS, TX with annual revenue of approximately $51M",
PATHWAYS OF SOUTHWESTERN PENNSYLVANIA INC,251125836,Human Services,95 W BEAU ST STE 420,WASHINGTON,PA,15301-6800,,"Human Services organization in WASHINGTON, PA with annual revenue of approximately $51M",
SHEN YUN PERFORMING ARTS INC,208812402,Arts & Culture,140 GALLEY HILL RD,CUDDEBACKVLLE,NY,12729-5225,,"Arts & Culture organization in CUDDEBACKVLLE, NY with annual revenue of approximately $51M",
COASTAL VILLAGES REGION FUND,920156736,Community,711 H ST STE 200,ANCHORAGE,AK,99501-3461,,"Community organization in ANCHORAGE, AK with annual revenue of approximately $51M",
RURAL CAPITAL AREA WORKFORCE DEVELOPMENT BOARD INC,742487795,Human Services,701 E WHITESTONE BLVD STE 200,CEDAR PARK,TX,78613-2093,,"Human Services organization in CEDAR PARK, TX with annual revenue of approximately $51M",
ALABAMA PARTNERSHIP FOR CHILDREN,631287120,Education,2595 BELL RD,MONTGOMERY,AL,36117-4334,,"Education organization in MONTGOMERY, AL with annual revenue of approximately $51M",
AMERICAN SOCIETY FOR TRAINING AND DEVELOPMENT,390852310,Human Services,1640 KING STREET,ALEXANDRIA,VA,22314-2746,,"Human Services organization in ALEXANDRIA, VA with annual revenue of approximately $51M",
STELLA ORTON HOME CARE AGENCY INC,133137595,Human Services,4456 AMBOY RD,STATEN ISLAND,NY,10312-3897,,"Human Services organization in STATEN ISLAND, NY with annual revenue of approximately $51M",
LEAGUE OF CONSERVATION VOTERS EDUCATION FUND,521379661,Environment,740 15TH NW ST STE 700,WASHINGTON,DC,20005-0000,,"Environment organization in WASHINGTON, DC with annual revenue of approximately $51M",
PARENTS IN COMMUNITY ACTION,410956226,Human Services,700 HUMBOLDT AVE N,MINNEAPOLIS,MN,55411-3931,,"Human Services organization in MINNEAPOLIS, MN with annual revenue of approximately $51M",
ST MARTIN HOSPITAL INC,264626264,Health,210 CHAMPAGNE BLVD,BREAUX BRIDGE,LA,70517-3700,,"Health organization in BREAUX BRIDGE, LA with annual revenue of approximately $51M",
REX AND MARGARET FORTUNE SCHOOL OF EDUCATION,943187528,Education,2890 GATEWAY OAKS DR STE 100,SACRAMENTO,CA,95833-4327,,"Education organization in SACRAMENTO, CA with annual revenue of approximately $51M",
GRANT MEMORIAL HOSPITAL,550562976,Health,117 HOSPITAL DR,PETERSBURG,WV,26847-9566,,"Health organization in PETERSBURG, WV with annual revenue of approximately $51M",
HALE MAKUA HEALTH SERVICES,990080460,Health,472 KAULANA ST,KAHULUI,HI,96732-2050,,"Health organization in KAHULUI, HI with annual revenue of approximately $51M",
LITTLE FLOWER CHILDREN & FAMILY SERVICES OF NEW YORK,111633572,Human Services,2450 N WADING RIVER RD,WADING RIVER,NY,11792-1402,,"Human Services organization in WADING RIVER, NY with annual revenue of approximately $51M",
ASHE MEMORIAL HOSPITAL INC,560603900,Health,200 HOSPITAL AVE,JEFFERSON,NC,28640-9244,,"Health organization in JEFFERSON, NC with annual revenue of approximately $51M",
CENTRACARE HEALTH SYSTEM OF MELROSE,411865315,Health,525 MAIN ST W,MELROSE,MN,56352-1043,,"Health organization in MELROSE, MN with annual revenue of approximately $51M",
TRINITY COLLEGE,530196640,Education,125 MICHIGAN AVE NE,WASHINGTON,DC,20017-1004,,"Education organization in WASHINGTON, DC with annual revenue of approximately $51M",
FOOD BANK OF IOWA,421177880,Human Services,2220 E 17TH ST,DES MOINES,IA,50316-2114,,"Human Services organization in DES MOINES, IA with annual revenue of approximately $51M",
