name,ein,category,address,city,state,zip_code,website,description,phone
EEC,800274093,Education,15505 CIVIC DR,VICTORVILLE,CA,92392-2357,,"Education organization in VICTORVILLE, CA with annual revenue of approximately $35M",
AEON,411558711,Human Services,901 N 3RD ST STE 150,MINNEAPOLIS,MN,55401-1175,,"Human Services organization in MINNEAPOLIS, MN with annual revenue of approximately $35M",
AMERICAN UROLOGICAL ASSOCIATION EDUCATION AND RESEARCH INC,430691437,Health,1000 CORPORATE BLVD,LINTHICUM,MD,21090-2260,,"Health organization in LINTHICUM, MD with annual revenue of approximately $35M",
CRETE AREA MEDICAL CENTER,470841285,Health,1600 S 48TH ST,LINCOLN,NE,68506-1227,,"Health organization in LINCOLN, NE with annual revenue of approximately $35M",
RAMAH NAVAJO SCHOOL BOARD INC,850208375,Education,PO BOX 70,PINEHILL,NM,87357-0070,,"Education organization in PINEHILL, NM with annual revenue of approximately $35M",
CSI SUPPORT AND DEVELOPMENT SERVICES,201935580,Human Services,8425 E 12 MILE RD,WARREN,MI,48093-2738,,"Human Services organization in WARREN, MI with annual revenue of approximately $35M",
SOUTHSIDE COMMUNITIES FIRE PROTECTION INC,580870522,Other,1399 DEAN FOREST RD,SAVANNAH,GA,31405-9307,,"Other organization in SAVANNAH, GA with annual revenue of approximately $35M",
PUBLIC LIBRARY ASSOCIATION OF ANNAPOLIS AND A A CO INC,526001871,Other,5 HARRY S TRUMAN PKWY,ANNAPOLIS,MD,21401-7042,,"Other organization in ANNAPOLIS, MD with annual revenue of approximately $35M",
GREAT PLAINS FOOD BANK,472229589,Human Services,1720 3RD AVE N,FARGO,ND,58102-4254,,"Human Services organization in FARGO, ND with annual revenue of approximately $35M",
MERCY HOSPITAL AURORA,431936696,Health,500 PORTER AVE,AURORA,MO,65605-2365,,"Health organization in AURORA, MO with annual revenue of approximately $35M",
UATX,871925354,Education,522 CONGRESS AVE,AUSTIN,TX,78701-3552,,"Education organization in AUSTIN, TX with annual revenue of approximately $35M",
LCTCS FACILITIES CORPORATION,261871311,Education,3850 N CAUSEWAY BLVD STE 1930,METAIRIE,LA,70002-7280,,"Education organization in METAIRIE, LA with annual revenue of approximately $35M",
AVERA HOLY FAMILY,420680370,Health,826 N 8TH ST,ESTHERVILLE,IA,51334-1528,,"Health organization in ESTHERVILLE, IA with annual revenue of approximately $35M",
AREAWIDE COUNCIL ON AGING OF BROWARD COUNTY INC,591529419,Human Services,5300 N HIATUS RD,SUNRISE,FL,33351-8701,,"Human Services organization in SUNRISE, FL with annual revenue of approximately $35M",
AREA AGENCY ON AGING OF PASCO-PINELLAS INC,311710636,Human Services,9549 KOGER BLVD N STE 100,ST PETERSBURG,FL,33702-2455,,"Human Services organization in ST PETERSBURG, FL with annual revenue of approximately $35M",
WESTERN PENNSYLVANIA SCHOOL FOR THE DEAF,251095386,Education,300 E SWISSVALE AVE,PITTSBURGH,PA,15218-1443,,"Education organization in PITTSBURGH, PA with annual revenue of approximately $35M",
CORNWALL MANOR,231365158,Human Services,1 BOYD ST,CORNWALL,PA,17016-0000,,"Human Services organization in CORNWALL, PA with annual revenue of approximately $35M",
BALLET THEATRE FOUNDATION INC,131882106,Arts & Culture,890 BROADWAY,NEW YORK,NY,10003-1211,,"Arts & Culture organization in NEW YORK, NY with annual revenue of approximately $35M",
TEXAS ORGAN SHARING ALLIANCE,741849716,Other,5051 HAMILTON WOLFE RD,SAN ANTONIO,TX,78229-4455,,"Other organization in SAN ANTONIO, TX with annual revenue of approximately $35M",
INTERNATIONAL TRAINING FUND,530238416,Community,THREE PARK PLACE,ANNAPOLIS,MD,21401-3687,,"Community organization in ANNAPOLIS, MD with annual revenue of approximately $35M",
ADELBROOK INC,060646920,Other,58 MISSIONARY RD,CROMWELL,CT,06416-2134,,"Other organization in CROMWELL, CT with annual revenue of approximately $35M",
SCHOOL-BASED HEALTH ALLIANCE,541752058,Health,1032 15TH STREET NW STE SUITE 365,WASHINGTON,DC,20005-1502,,"Health organization in WASHINGTON, DC with annual revenue of approximately $35M",
COLUMBIA COLLEGE,570324915,Education,1301 COLUMBIA COLLEGE DR,COLUMBIA,SC,29203-5949,,"Education organization in COLUMBIA, SC with annual revenue of approximately $35M",
PUGET SOUND KIDNEY CENTERS,911102033,Health,1019 PACIFIC AVE,EVERETT,WA,98201-4148,,"Health organization in EVERETT, WA with annual revenue of approximately $35M",
ST BERNARDS HEALTHCARE,710853900,Other,225 E WASHINGTON AVE,JONESBORO,AR,72401-3111,,"Other organization in JONESBORO, AR with annual revenue of approximately $35M",
PERKIOMEN SCHOOL,231352667,Education,200 SEMINARY ST,PENNSBURG,PA,18073-1815,,"Education organization in PENNSBURG, PA with annual revenue of approximately $35M",
JUNIOR ACHIEVEMENT USA,841267604,Human Services,12320 ORACLE BLVD STE 310,COLORADO SPRINGS,CO,80921-3660,,"Human Services organization in COLORADO SPRINGS, CO with annual revenue of approximately $35M",
ONE COMMUNITY HEALTH,930910794,Other,849 PACIFIC AVE,HOOD RIVER,OR,97031-1956,,"Other organization in HOOD RIVER, OR with annual revenue of approximately $35M",
EIHAB HUMAN SERVICES NEW JERSEY INC,371660097,Human Services,16818 S CONDUIT AVE,JAMAICA,NY,11434-4806,,"Human Services organization in JAMAICA, NY with annual revenue of approximately $35M",
BSLC II,452666295,Human Services,15475 GLENEAGLE DR,COLORADO SPGS,CO,80921-2596,,"Human Services organization in COLORADO SPGS, CO with annual revenue of approximately $35M",
GOODWILL TEMPORARY SERVICES INC,742750379,Human Services,1015 NORWOOD PARK BLVD,AUSTIN,TX,78753-6608,,"Human Services organization in AUSTIN, TX with annual revenue of approximately $35M",
NYSARC INC,141485873,Human Services,79 102ND ST,TROY,NY,12180-1125,,"Human Services organization in TROY, NY with annual revenue of approximately $35M",
COPE COMMUNITY SERVICES INC,860363717,Health,1477 W COMMERCE CT,TUCSON,AZ,85746-6016,,"Health organization in TUCSON, AZ with annual revenue of approximately $35M",
GIRLS INCORPORATED,131915124,Human Services,120 WALL STREET,NEW YORK,NY,10005-3904,,"Human Services organization in NEW YORK, NY with annual revenue of approximately $35M",
RMS DEVELOPMENT INC,061241289,Other,PO BOX 7333,KENSINGTON,CT,06037-7333,,"Other organization in KENSINGTON, CT with annual revenue of approximately $35M",
MAUI UNITED WAY INC,990086524,Community,95 MAHALANI ST RM 24,WAILUKU,HI,96793-2521,,"Community organization in WAILUKU, HI with annual revenue of approximately $35M",
COMMUNITY FOUNDATION OF BROWARD INC,592477112,Community,910 EAST LAS OLAS BLVD 200,FORT LAUDERDALE,FL,33301-2312,,"Community organization in FORT LAUDERDALE, FL with annual revenue of approximately $35M",
TRUSTEES OF THE LAWRENCE ACADEMY AT GROTON,042105775,Education,26 POWDERHOUSE RD,GROTON,MA,01450-4700,,"Education organization in GROTON, MA with annual revenue of approximately $35M",
NC HISTORY CENTER ON THE CIVIL WAR EMANCIPATION & RECONSTRUCTION,463062871,Arts & Culture,824 BRANSON ST,FAYETTEVILLE,NC,28305-5402,,"Arts & Culture organization in FAYETTEVILLE, NC with annual revenue of approximately $35M",
ANGEL VIEW INC,951861861,Human Services,67625 EAST PALM CANYON DR STE 7A,CATHEDRAL CITY,CA,92234-5462,,"Human Services organization in CATHEDRAL CITY, CA with annual revenue of approximately $35M",
AMERICAN THORACIC SOCIETY INC,061548706,Education,PO BOX 3421,NEW YORK,NY,10008-3421,,"Education organization in NEW YORK, NY with annual revenue of approximately $35M",
OZARKS AREA COMMUNITY ACTION CORPORATION,430836672,Human Services,215 S BARNES AVE,SPRINGFIELD,MO,65802-2204,,"Human Services organization in SPRINGFIELD, MO with annual revenue of approximately $35M",
BIBLE FELLOWSHIP CHURCH HOMES INC,231705204,Human Services,3000 FELLOWSHIP DR,WHITEHALL,PA,18052-3343,,"Human Services organization in WHITEHALL, PA with annual revenue of approximately $35M",
BENJAMIN FRANKLIN CHARTER SCHOOL - QUEEN CREEK,831355883,Education,690 E WARNER RD STE 141,GILBERT,AZ,85296-3058,,"Education organization in GILBERT, AZ with annual revenue of approximately $35M",
SIGNAL TECHNOLOGY FOUNDATION,824506840,Community,650 CASTRO ST STE 120 PMB 223,MOUNTAIN VIEW,CA,94041-2093,,"Community organization in MOUNTAIN VIEW, CA with annual revenue of approximately $35M",
CHILD AND FAMILY GUIDANCE CENTER,952217348,Human Services,9650 ZELZAH AVE,NORTHRIDGE,CA,91325-2003,,"Human Services organization in NORTHRIDGE, CA with annual revenue of approximately $35M",
ELEMENTAL EXCELERATOR INC,821112859,Environment,1099 ALAKEA ST STE 1250,HONOLULU,HI,96813-4517,,"Environment organization in HONOLULU, HI with annual revenue of approximately $35M",
LIBERTY SCIENCE CENTER INC,222302253,Arts & Culture,222 JERSEY CITY BLVD,JERSEY CITY,NJ,07305-4636,,"Arts & Culture organization in JERSEY CITY, NJ with annual revenue of approximately $35M",
SUNBELT HUMAN ADVANCEMENT RESOURCES INC,576028253,Education,254 SOUTH PLEASANTBURG DRIVE,GREENVILLE,SC,29607-2562,,"Education organization in GREENVILLE, SC with annual revenue of approximately $35M",
CENTER FOR HOUSING AND HEALTH,264287202,Human Services,200 W MONROE ST STE 1150,CHICAGO,IL,60606-5036,,"Human Services organization in CHICAGO, IL with annual revenue of approximately $35M",
SALISH KOOTENAI COLLEGE INC,810378823,Education,PO BOX 70,PABLO,MT,59855-0070,,"Education organization in PABLO, MT with annual revenue of approximately $35M",
NEW ORLEANS PHYSICIAN SERVICES INC,464568405,Community,1101 MEDICAL CENTER BLVD,MARRERO,LA,70072-3147,,"Community organization in MARRERO, LA with annual revenue of approximately $35M",
COMMUNITY REINVESTMENT FUND INC,411616861,Community,801 NICOLLET MALL STE 1700W,MINNEAPOLIS,MN,55402-2532,,"Community organization in MINNEAPOLIS, MN with annual revenue of approximately $35M",
THE ARMY RETIREMENT RESIDENCE FOUNDATION - SAN ANTONIO,742244155,Human Services,7400 CRESTWAY RD,SAN ANTONIO,TX,78239-3007,,"Human Services organization in SAN ANTONIO, TX with annual revenue of approximately $35M",
UNITY HOUSE OF TROY INCORPORATED,232378930,Health,2431 6TH AVE,TROY,NY,12180-2227,,"Health organization in TROY, NY with annual revenue of approximately $35M",
FOUNDATION FIGHTING BLINDNESS INC,237135845,Health,6925 OAKLAND MILLS RD701,COLUMBIA,MD,21045-4714,,"Health organization in COLUMBIA, MD with annual revenue of approximately $35M",
BUSHNELL UNIVERSITY,930433696,Education,828 E 11TH AVE,EUGENE,OR,97401-3745,,"Education organization in EUGENE, OR with annual revenue of approximately $35M",
BANANAS INCORPORATED,942247074,Human Services,5232 CLAREMONT AVE,OAKLAND,CA,94618-1033,,"Human Services organization in OAKLAND, CA with annual revenue of approximately $35M",
MILLBROOK SCHOOL,141413770,Education,131 MILLBROOK SCHOOL RD,MILLBROOK,NY,12545-4932,,"Education organization in MILLBROOK, NY with annual revenue of approximately $35M",
LIFE FOR RELIEF AND DEVELOPMENT INC,954402149,International,17300 W 10 MILE RD,SOUTHFIELD,MI,48075-2930,,"International organization in SOUTHFIELD, MI with annual revenue of approximately $35M",
PEDIATRIC SPECIALISTS OF VIRGINIA LLC,461851763,Health,3023 HAMAKER CT STE 200,FAIRFAX,VA,22031-2240,,"Health organization in FAIRFAX, VA with annual revenue of approximately $35M",
CHATTANOOGA CHRISTIAN COMMUNITY FOUNDATION,621536731,Community,345 FRAZIER AVENUE,CHATTANOOGA,TN,37405-4095,,"Community organization in CHATTANOOGA, TN with annual revenue of approximately $35M",
WOMENS HOUSING AND ECONOMIC DEVELOPMENT CORPORATION,113099604,Human Services,50 E 168TH STREET,BRONX,NY,10452-7929,,"Human Services organization in BRONX, NY with annual revenue of approximately $35M",
JEFFERSON COMMUNITY HEALTH CENTER INC,470468078,Health,2200 H ST,FAIRBURY,NE,68352-1119,,"Health organization in FAIRBURY, NE with annual revenue of approximately $35M",
MEMORIAL HOSPITAL OF BOSCOBEL,390845590,Health,205 PARKER ST,BOSCOBEL,WI,53805-1642,,"Health organization in BOSCOBEL, WI with annual revenue of approximately $35M",
LOGAN COMMUNITY RESOURCES INC,350965639,Other,PO BOX 1049,SOUTH BEND,IN,46624-1049,,"Other organization in SOUTH BEND, IN with annual revenue of approximately $35M",
UNITED WAY OF GREATER KANSAS CITY INC,440545812,Other,4801 MAIN ST STE 425,KANSAS CITY,MO,64112-8700,,"Other organization in KANSAS CITY, MO with annual revenue of approximately $35M",
SWORDS TO PLOWSHARES VETERANS RIGHTS ORGANIZATION,942260626,Community,1060 HOWARD ST,SAN FRANCISCO,CA,94103-2820,,"Community organization in SAN FRANCISCO, CA with annual revenue of approximately $35M",
VALOR CHRISTIAN SCHOOLS,203168449,Education,3775 GRACE BLVD,HGHLNDS RANCH,CO,80126-8123,,"Education organization in HGHLNDS RANCH, CO with annual revenue of approximately $35M",
FRIENDS ACADEMY,111633485,Education,DUCK POND RD,LOCUST VALLEY,NY,11560-0000,,"Education organization in LOCUST VALLEY, NY with annual revenue of approximately $35M",
CENTRAL FLORIDA REGIONAL WORKFORCE DEVELOPMENT BOARD INC,593396497,Human Services,390 N ORANGE AVE STE 700,ORLANDO,FL,32801-1673,,"Human Services organization in ORLANDO, FL with annual revenue of approximately $35M",
COMMUNITY SUPPORTS INC,593507238,Human Services,1890 STATE ROAD 436 STE 300,WINTER PARK,FL,32792-2285,,"Human Services organization in WINTER PARK, FL with annual revenue of approximately $35M",
CUSHMAN SCHOOL INC,591382853,Education,592 NE 60TH ST,MIAMI,FL,33137-2246,,"Education organization in MIAMI, FL with annual revenue of approximately $35M",
ST VINCENT DE PAUL REHABILITATION SERVICES OF TEXAS INC,742736120,Human Services,4902 GROVER AVE,AUSTIN,TX,78756-2629,,"Human Services organization in AUSTIN, TX with annual revenue of approximately $35M",
UNIVERSITY OF NORTHERN IOWA FOUNDATION,426058591,Education,204 COMMONS UNI,CEDAR FALLS,IA,50614-0282,,"Education organization in CEDAR FALLS, IA with annual revenue of approximately $35M",
UNITED TRIBES TECHNICAL COLLEGE,450314233,Education,3315 UNIVERSITY DR,BISMARCK,ND,58504-7554,,"Education organization in BISMARCK, ND with annual revenue of approximately $35M",
ST CAMILLUS RESIDENTIAL HEALTH CARE FACILITY,161085780,Other,813 FAY RD,SYRACUSE,NY,13219-3009,,"Other organization in SYRACUSE, NY with annual revenue of approximately $35M",
DEMOCRACY MATTERS FOUNDATION,463009324,Religion,996 MAINE AVE SW PMB 216,WASHINGTON,DC,20024-3440,,"Religion organization in WASHINGTON, DC with annual revenue of approximately $35M",
JANE PAULEY COMMUNITY HEALTH CENTER INC,010945309,Health,1503 N MITTHOEFER RD,INDIANAPOLIS,IN,46229-2425,,"Health organization in INDIANAPOLIS, IN with annual revenue of approximately $35M",
CLINICAL HEALTH NETWORK FOR TRANSFORMATION INC,842471177,Health,390 NE 191ST ST 8466,MIAMI,FL,33179-3899,,"Health organization in MIAMI, FL with annual revenue of approximately $35M",
WHEATON FRANCISCAN HEALTHCARE - SOUTHEAST WISCONSIN INC,391568865,Health,PO BOX 45998,SAINT LOUIS,MO,63145-5998,,"Health organization in SAINT LOUIS, MO with annual revenue of approximately $35M",
NORTHERN COUNTIES HEALTH CARE INC,510199559,Health,165 SHERMAN DR,ST JOHNSBURY,VT,05819-9811,,"Health organization in ST JOHNSBURY, VT with annual revenue of approximately $35M",
TARBUT VTORAH COMMUNITY DAY SCHOOL,953374189,Education,5 FEDERATION WAY,IRVINE,CA,92603-0100,,"Education organization in IRVINE, CA with annual revenue of approximately $35M",
INSPIRITUS INC,581535692,Religion,731 PEACHTREE ST NE,ATLANTA,GA,30308-1203,,"Religion organization in ATLANTA, GA with annual revenue of approximately $35M",
BETHESDA FOUNDATION INC,237374129,Health,625 EDEN PARK DRIVE 7TH FLOOR,CINCINNATI,OH,45202-6005,,"Health organization in CINCINNATI, OH with annual revenue of approximately $35M",
FLORIDIANS FOR QUALITY VIRTUAL EDUCATION INC,813326090,Education,5805 BRECKENRIDGE PKWY STE E,TAMPA,FL,33610-4250,,"Education organization in TAMPA, FL with annual revenue of approximately $35M",
MEDAL OF HONOR MUSEUM FOUNDATION,900900556,Arts & Culture,1717 E RANDOL MILL RD,ARLINGTON,TX,76011-6000,,"Arts & Culture organization in ARLINGTON, TX with annual revenue of approximately $35M",
LADACIN NETWORK INC,210674715,Health,1703 KNEELEY BLVD,OCEAN,NJ,07712-7622,,"Health organization in OCEAN, NJ with annual revenue of approximately $35M",
AMERICAN OSTEOPATHIC ASSOCIATION,362170786,Health,142 EAST ONTARIO STREET 10TH FL,CHICAGO,IL,60611-8710,,"Health organization in CHICAGO, IL with annual revenue of approximately $35M",
CORNELIA NIXON DAVIS INC,566065223,Health,1011 PORTERS NECK RD,WILMINGTON,NC,28411-9196,,"Health organization in WILMINGTON, NC with annual revenue of approximately $35M",
CAPITOL CITY FAMILY HEALTH CENTER INCORPORATED,721395500,Health,3140 FLORIDA ST,BATON ROUGE,LA,70806-3757,,"Health organization in BATON ROUGE, LA with annual revenue of approximately $35M",
TRAINING REHABILITATION & DEVELOPMENT INSTITUTE INC,742938051,Human Services,425 SOLEDAD ST STE 800,SAN ANTONIO,TX,78205-1520,,"Human Services organization in SAN ANTONIO, TX with annual revenue of approximately $35M",
LUTHERAN SOCIAL SERVICE OF COLORADO,840775550,Other,1035 OSAGE ST STE 700,DENVER,CO,80204-4209,,"Other organization in DENVER, CO with annual revenue of approximately $35M",
RAPPAHANNOCK GOODWILL STORES AND SERVICES INC,760800820,Community,4701 MARKET ST STE A,FREDERICKSBRG,VA,22408-8613,,"Community organization in FREDERICKSBRG, VA with annual revenue of approximately $35M",
BRENTWOOD ACADEMY INC,620811952,Education,219 GRANNY WHITE PIKE,BRENTWOOD,TN,37027-5753,,"Education organization in BRENTWOOD, TN with annual revenue of approximately $35M",
GREEN CHIMNEYS CHILDRENS SERVICES INC,141568025,Other,PUTNAM LAKE RD CALLER BOX 719,BREWSTER,NY,10509-0000,,"Other organization in BREWSTER, NY with annual revenue of approximately $35M",
EARLY LEARNING COALITION OF ST LUCIE COUNTY INC,593679509,Education,5000 NW DUNN RD 3RD FLOOR,FORT PIERCE,FL,34981-4901,,"Education organization in FORT PIERCE, FL with annual revenue of approximately $35M",
NORTHWEST ENERGY EFFICIENCY ALLIANCE INC,931228867,Environment,700 NE MULTNOMAH ST STE 1300,PORTLAND,OR,97232-4113,,"Environment organization in PORTLAND, OR with annual revenue of approximately $35M",
ALLIANCE FOR MULTICULTURAL COMMUNITY SERVICES,760171217,Human Services,6420 HILLCROFT AVENUE,HOUSTON,TX,77081-3190,,"Human Services organization in HOUSTON, TX with annual revenue of approximately $35M",
FINGER LAKES AREA COUNSELING AND RECOVERY AGENCY INC,161013292,Other,28 EAST MAIN STREET 5TH FLOOR,CLIFTON SPRINGS,NY,14432-1231,,"Other organization in CLIFTON SPRINGS, NY with annual revenue of approximately $35M",
SAINT JOHNS COMMUNITIES INC,390807204,Human Services,1840 N PROSPECT AVE,MILWAUKEE,WI,53202-1975,,"Human Services organization in MILWAUKEE, WI with annual revenue of approximately $35M",
OHIO CAPITAL CORPORATION FOR HOUSING,311265570,Human Services,671 S HIGH ST SUITE 600,COLUMBUS,OH,43206-1072,,"Human Services organization in COLUMBUS, OH with annual revenue of approximately $35M",
TAX ANALYSTS,237073182,Other,400 S MAPLE AVENUE 4TH F,FALLS CHURCH,VA,22046-4241,,"Other organization in FALLS CHURCH, VA with annual revenue of approximately $35M",
CENTRE COUNTY CANCER CENTER,800866636,Health,155 WELLNESS WAY,STATE COLLEGE,PA,16803-6702,,"Health organization in STATE COLLEGE, PA with annual revenue of approximately $35M",
CAL POLY POMONA PHILANTHROPIC FOUNDATION,832300241,Community,3801 W TEMPLE AVE,POMONA,CA,91768-2557,,"Community organization in POMONA, CA with annual revenue of approximately $35M",
SUMMIT CENTER INC,161095750,Education,150 STAHL ROAD THE SUMMIT CENTER,GETZVILLE,NY,14068-0000,,"Education organization in GETZVILLE, NY with annual revenue of approximately $35M",
THE UNIVERSITY OF TOLEDO FOUNDATION,346555110,Education,4510 DORR ST,TOLEDO,OH,43615-4040,,"Education organization in TOLEDO, OH with annual revenue of approximately $35M",
NORTH COAST OPPORTUNITIES INC,941671958,Human Services,413 N STATE ST,UKIAH,CA,95482-4421,,"Human Services organization in UKIAH, CA with annual revenue of approximately $35M",
THE JEWISH COMMUNITY CENTER IN MANHATTAN INC,133490745,Human Services,334 AMSTERDAM AVE,NEW YORK,NY,10023-8205,,"Human Services organization in NEW YORK, NY with annual revenue of approximately $35M",
SARASOTA MEMORIAL HEALTHCARE FOUNDATION,510188568,Health,1515 S OSPREY AVE STE B4,SARASOTA,FL,34239-2918,,"Health organization in SARASOTA, FL with annual revenue of approximately $35M",
HELPING HAND CENTER,362327271,Human Services,9649 W 55TH ST,COUNTRYSIDE,IL,60525-3632,,"Human Services organization in COUNTRYSIDE, IL with annual revenue of approximately $35M",
FRIENDS OF THE CHILDREN OF MISSISSIPPI INC,640442110,Education,130 RIVERVIEW DR STE C,FLOWOOD,MS,39232-8921,,"Education organization in FLOWOOD, MS with annual revenue of approximately $35M",
LYCEE FRANCAIS DE SAN FRANCISCO,941660059,Education,1201 ORTEGA ST,SAN FRANCISCO,CA,94122-4411,,"Education organization in SAN FRANCISCO, CA with annual revenue of approximately $35M",
LIFESHARE TRANSPLANT DONOR SERVICES OF OKLAHOMA INC,731281589,Health,4705 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132-5213,,"Health organization in OKLAHOMA CITY, OK with annual revenue of approximately $35M",
SAN DIEGO WORKFORCE PARTNERSHIP INC,330660504,Human Services,9246 LIGHTWAVE AVE,SAN DIEGO,CA,92123-6411,,"Human Services organization in SAN DIEGO, CA with annual revenue of approximately $35M",
SAINT-MARY-OF-THE-WOODS COLLEGE,351065063,Education,1 ST MARY OF WOODS COLL,ST MARY OF WD,IN,47876-1001,,"Education organization in ST MARY OF WD, IN with annual revenue of approximately $35M",
THE WEBB SCHOOLS,951856591,Education,1175 W BASELINE RD,CLAREMONT,CA,91711-2146,,"Education organization in CLAREMONT, CA with annual revenue of approximately $35M",
COMMUNITY ACTION PARTNERSHIP OF SAN BERNARDINO COUNTY,952376882,Human Services,696 S TIPPECANOE AVE,SN BERNRDNO,CA,92408-2607,,"Human Services organization in SN BERNRDNO, CA with annual revenue of approximately $35M",
