name,ein,category,address,city,state,zip_code,website,description,phone
FLORIDA COMMUNITY HEALTH CENTERS INC,591671640,Other,5827 CORPORATE WAY,WEST PALM BEACH,FL,33407-2000,,"Other organization in WEST PALM BEACH, FL with annual revenue of approximately $48M",
COMMUNITY SYSTEMS INC,510281350,Human Services,2 PENNS WAY STE 301,NEW CASTLE,DE,19720-2407,,"Human Services organization in NEW CASTLE, DE with annual revenue of approximately $48M",
KENAN-FLAGLER BUSINESS SCHOOL FOUNDATION,560771850,Education,205 KENAN CENTER CB 3490,CHAPEL HILL,NC,27599-3490,,"Education organization in CHAPEL HILL, NC with annual revenue of approximately $48M",
UNITED JEWISH FOUNDATION,381360585,Community,6735 TELEGRAPH ROAD,BLOOMFIELD HILLS,MI,48301-3141,,"Community organization in BLOOMFIELD HILLS, MI with annual revenue of approximately $48M",
LIFESHARE BLOOD CENTER,720511367,Other,8910 LINWOOD AVE,SHREVEPORT,LA,71106-6508,,"Other organization in SHREVEPORT, LA with annual revenue of approximately $48M",
KING SCHOOL INCORPORATED,061229222,Education,1450 NEWFIELD AVE,STAMFORD,CT,06905-1501,,"Education organization in STAMFORD, CT with annual revenue of approximately $48M",
DTCARE,833344803,Human Services,301 MOON CLINTON RD,MOON TOWNSHIP,PA,15108-2431,,"Human Services organization in MOON TOWNSHIP, PA with annual revenue of approximately $47M",
MIAMI VALLEY CHILD DEVELOPMENT CENTERS INC,310713127,Human Services,215 HORACE ST,DAYTON,OH,45402-8318,,"Human Services organization in DAYTON, OH with annual revenue of approximately $47M",
SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,314391798,Health,1341 CLARK ST,CAMBRIDGE,OH,43725-9614,,"Health organization in CAMBRIDGE, OH with annual revenue of approximately $47M",
SUSTAINABLE MARKETS FOUNDATION,134188834,Environment,40 W 37TH ST RM 1000,NEW YORK,NY,10018-7311,,"Environment organization in NEW YORK, NY with annual revenue of approximately $47M",
PRESTERA CENTER FOR MENTAL HEALTH,550492369,Health,55 DONOHOE DR,HUNTINGTON,WV,25705-8887,,"Health organization in HUNTINGTON, WV with annual revenue of approximately $47M",
SOUTHERN APPALACHIAN HIGHLANDS CONSERVANCY,621098890,Environment,372 MERRIMON AVE,ASHEVILLE,NC,28801-1222,,"Environment organization in ASHEVILLE, NC with annual revenue of approximately $47M",
HIVELY,942379571,Human Services,213 E PACIFIC AVE,FAIRFIELD,CA,94533-2253,,"Human Services organization in FAIRFIELD, CA with annual revenue of approximately $47M",
COLBY-SAWYER COLLEGE,020222120,Education,541 MAIN ST,NEW LONDON,NH,03257-7818,,"Education organization in NEW LONDON, NH with annual revenue of approximately $47M",
GOOD SHEPHERD HOSPICE,112958438,Other,110 BI COUNTY BLVD STE 114,FARMINGDALE,NY,11735-3923,,"Other organization in FARMINGDALE, NY with annual revenue of approximately $47M",
NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY,680317185,Human Services,2600 ESTATES DR,FAIRFIELD,CA,94533-9711,,"Human Services organization in FAIRFIELD, CA with annual revenue of approximately $47M",
ROCHESTER AREA COMMUNITY FOUNDATION,237250641,Community,500 EAST AVENUE,ROCHESTER,NY,14607-1949,,"Community organization in ROCHESTER, NY with annual revenue of approximately $47M",
JOHN KNOX VILLAGE OF CENTRAL FLORIDA INC,591831906,Human Services,101 NORTHLAKE DR,ORANGE CITY,FL,32763-6167,,"Human Services organization in ORANGE CITY, FL with annual revenue of approximately $47M",
NORTH CAROLINA COMMUNITY FOUNDATION INC,581661700,Community,3737 GLENWOOD AVE STE 460,RALEIGH,NC,27612-5505,,"Community organization in RALEIGH, NC with annual revenue of approximately $47M",
LANCASTER BIBLE COLLEGE,231484178,Education,901 EDEN RD,LANCASTER,PA,17601-5036,,"Education organization in LANCASTER, PA with annual revenue of approximately $47M",
PACIFIC LEGAL FOUNDATION,942197343,Human Services,555 CAPITOL MALL STE 1290,SACRAMENTO,CA,95814-4605,,"Human Services organization in SACRAMENTO, CA with annual revenue of approximately $47M",
EDEN AUTISM SERVICES INC,222069597,Other,2 MERWICK RD,PRINCETON,NJ,08540-5730,,"Other organization in PRINCETON, NJ with annual revenue of approximately $47M",
SERENITY CARE INC,680620485,Human Services,PO BOX 2006,ANDOVER,MA,01810-0106,,"Human Services organization in ANDOVER, MA with annual revenue of approximately $47M",
VIRGINIA GAY HOSPITAL INC,421231996,Health,504 N 9TH AVE,VINTON,IA,52349-2254,,"Health organization in VINTON, IA with annual revenue of approximately $47M",
UNIVERSITY OF MOBILE INC,630417508,Education,5375 COLLEGE PARKWAY,MOBILE,AL,36613-0000,,"Education organization in MOBILE, AL with annual revenue of approximately $47M",
VISTA DEL MAR CHILD AND FAMILY SERVICES,951647832,Human Services,5 GREENWICH OFFICE PARK STE 440,GREENWICH,CT,06831-5192,,"Human Services organization in GREENWICH, CT with annual revenue of approximately $47M",
CATHOLIC CHARITIES OF DIOCESE OF ALBANY,141340033,Other,40 N MAIN AVE,ALBANY,NY,12203-1481,,"Other organization in ALBANY, NY with annual revenue of approximately $47M",
THE WRIGHT CENTER FOR GRADUATE MEDICAL EDUCATION,232007832,Health,501 S WASHINGTON AVE STE 1000,SCRANTON,PA,18505-3805,,"Health organization in SCRANTON, PA with annual revenue of approximately $47M",
YOUNG MENS CHRISTIAN ASSOCIATION OF SNOHOMISH COUNTY,910565561,Other,PO BOX 419,EVERETT,WA,98206-0419,,"Other organization in EVERETT, WA with annual revenue of approximately $47M",
PLANNED PARENTHOOD OF NORTHERN CENTRAL AND SOUTHERN NEW JERSEY IN,221643997,Health,196 SPEEDWELL AVE,MORRISTOWN,NJ,07960-2934,,"Health organization in MORRISTOWN, NJ with annual revenue of approximately $47M",
FIVE RIVERS HEALTH CENTERS,450914398,Health,721 MIAMI CHAPEL RD,DAYTON,OH,45417-4650,,"Health organization in DAYTON, OH with annual revenue of approximately $47M",
ELECTRICAL TRAINING ALLIANCE,530212938,Human Services,5001 HOWERTON WAY,BOWIE,MD,20715-4459,,"Human Services organization in BOWIE, MD with annual revenue of approximately $47M",
FORT LOUDOUN MEDICAL CENTER,621373691,Health,1420 CENTERPOINT BLVD BLDG C,KNOXVILLE,TN,37932-1960,,"Health organization in KNOXVILLE, TN with annual revenue of approximately $47M",
ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL,113371679,Human Services,800 EMPIRE BLVD,BROOKLYN,NY,11213-5627,,"Human Services organization in BROOKLYN, NY with annual revenue of approximately $47M",
