name,ein,category,address,city,state,zip_code,website,description,phone
KVC BEHAVIORAL HEALTHCARE INC,480770308,Human Services,21350 W 153RD ST,OLATHE,KS,66061-5413,,"Human Services organization in OLATHE, KS with annual revenue of approximately $60M",
MERCY HOSPITAL LINCOLN,472219204,Health,1000 E CHERRY ST,TROY,MO,63379-1513,,"Health organization in TROY, MO with annual revenue of approximately $60M",
SKILLS OF CENTRAL PENNSYLVANIA INC,240855593,Human Services,341 SCIENCE PARK RD STE 6,STATE COLLEGE,PA,16803-2287,,"Human Services organization in STATE COLLEGE, PA with annual revenue of approximately $60M",
POLISH ROMAN CATHOLIC UNION OF AMERICA,361635425,Other,984 N MILWAUKEE AVE,CHICAGO,IL,60642-4101,,"Other organization in CHICAGO, IL with annual revenue of approximately $60M",
SOUTHEASTERN LOUISIANA AREA HEALTH EDUCATION CENTER,721155014,Other,1302 J W DAVIS DR,HAMMOND,LA,70403-5914,,"Other organization in HAMMOND, LA with annual revenue of approximately $60M",
MATHENY SCHOOL AND HOSPITAL INC,221482276,Education,65 HIGHLAND AVE,PEAPACK,NJ,07977-0000,,"Education organization in PEAPACK, NJ with annual revenue of approximately $60M",
COLUMBIA INTERNATIONAL UNIVERSITY,570352247,Education,7435 MONTICELLO RD,COLUMBIA,SC,29203-1513,,"Education organization in COLUMBIA, SC with annual revenue of approximately $60M",
BURKE CENTER,751442393,Human Services,2001 S MEDFORD DR,LUFKIN,TX,75901-6260,,"Human Services organization in LUFKIN, TX with annual revenue of approximately $60M",
HACKENSACK MERIDIAN HEALTH INC,223474145,Health,399 THORNALL ST STE 2,EDISON,NJ,08837-2238,,"Health organization in EDISON, NJ with annual revenue of approximately $60M",
VILLAGE NETWORK,340768857,Human Services,2000 NOBLE DR,WOOSTER,OH,44691-5353,,"Human Services organization in WOOSTER, OH with annual revenue of approximately $60M",
HARMONY HEALTH CARE LONG ISLAND,270216316,Health,400 OAK ST STE 104,GARDEN CITY,NY,11530-6554,,"Health organization in GARDEN CITY, NY with annual revenue of approximately $60M",
THE CLAREMONT COLLEGES INC,954786748,Education,101 S MILLS AVE,CLAREMONT,CA,91711-5053,,"Education organization in CLAREMONT, CA with annual revenue of approximately $60M",
SOUTH CAROLINA CONNECTIONS ACADEMY INC,261966726,Education,201 EXECUTIVE CENTER DRIVE,COLUMBIA,SC,29210-8410,,"Education organization in COLUMBIA, SC with annual revenue of approximately $60M",
CHATHAM HOSPITAL INC,560611546,Other,PO BOX 649,SILER CITY,NC,27344-0649,,"Other organization in SILER CITY, NC with annual revenue of approximately $60M",
PLYMOUTH HOUSING GROUP,911122621,Human Services,2113 3RD AVE,SEATTLE,WA,98121-2321,,"Human Services organization in SEATTLE, WA with annual revenue of approximately $60M",
ROCKEFELLER FAMILY FUND INC,136257658,Community,475 RIVERSIDE DR RM 900,NEW YORK,NY,10115-0066,,"Community organization in NEW YORK, NY with annual revenue of approximately $60M",
