name,ein,category,address,city,state,zip_code,website,description,phone
SOUTH MIAMI HOSPITAL INC,590872594,Health,6200 SW 73RD ST,SOUTH MIAMI,FL,33143-4679,,"Health organization in SOUTH MIAMI, FL with annual revenue of approximately $941M",
HENDRICK MEDICAL CENTER,750827446,Health,PO BOX 3117,ABILENE,TX,79604-3117,,"Health organization in ABILENE, TX with annual revenue of approximately $940M",
BAPTIST HEALTH CARE INC,590657322,Health,PO BOX 17500,PENSACOLA,FL,32522-7500,,"Health organization in PENSACOLA, FL with annual revenue of approximately $939M",
CHILDRENS HOSPITAL OF WISCONSIN INC,390812532,Health,PO BOX 1997,MILWAUKEE,WI,53201-1997,,"Health organization in MILWAUKEE, WI with annual revenue of approximately $938M",
MARY WASHINGTON HEALTHCARE,201106426,Health,2300 FALL HILL AVE STE 418,FREDERICKSBRG,VA,22401-3343,,"Health organization in FREDERICKSBRG, VA with annual revenue of approximately $937M",
AMERICAN UNIVERSITY,530196549,Education,4400 MASSACHUSETTS AVE NW,WASHINGTON,DC,20016-8002,,"Education organization in WASHINGTON, DC with annual revenue of approximately $937M",
LOS ANGELES LOMOD CORPORATION,953033333,Other,2600 WILSHIRE BLVD,LOS ANGELES,CA,90057-3400,,"Other organization in LOS ANGELES, CA with annual revenue of approximately $935M",
MAP INTERNATIONAL,362586390,International,4700 GLYNCO PKWY,BRUNSWICK,GA,31525-6901,,"International organization in BRUNSWICK, GA with annual revenue of approximately $934M",
TORRANCE MEMORIAL MEDICAL CENTER,951644042,Health,3330 LOMITA BLVD,TORRANCE,CA,90505-5002,,"Health organization in TORRANCE, CA with annual revenue of approximately $932M",
ST JUDE HOSPITAL,951643325,Health,101 E VALENCIA MESA DR,FULLERTON,CA,92835-3809,,"Health organization in FULLERTON, CA with annual revenue of approximately $932M",
ST JOSEPH HOSPITAL OF ORANGE,951643359,Health,1100 W STEWART DR,ORANGE,CA,92868-3849,,"Health organization in ORANGE, CA with annual revenue of approximately $928M",
BIG TEN CONFERENCE INC,363640583,Other,5440 PARK PL,ROSEMONT,IL,60018-3732,,"Other organization in ROSEMONT, IL with annual revenue of approximately $928M",
