name,ein,category,address,city,state,zip_code,website,description,phone
NYSARC INC,150581298,Other,245 GENESEE ST,UTICA,NY,13501-3401,,"Other organization in UTICA, NY with annual revenue of approximately $45M",
BROWN NEUROLOGY,050448314,Health,593 EDDY STREET APC 5,PROVIDENCE,RI,02903-4923,,"Health organization in PROVIDENCE, RI with annual revenue of approximately $45M",
FRIENDSHIP VILLAGE OF WEST COUNTY,237333148,Human Services,15201 OLIVE BLVD,CHESTERFIELD,MO,63017-1807,,"Human Services organization in CHESTERFIELD, MO with annual revenue of approximately $45M",
WHITE COUNTY PHYSICIAN GROUP,275303218,Health,3214 E RACE AVE,SEARCY,AR,72143-4810,,"Health organization in SEARCY, AR with annual revenue of approximately $45M",
MORTON ARBORETUM,361505770,Environment,4100 ILLINOIS ROUTE 53,LISLE,IL,60532-1288,,"Environment organization in LISLE, IL with annual revenue of approximately $45M",
QUANTUM LEAP HEALTH CARECOLLABORATIVE,204284925,Human Services,499 ILLINOIS ST,SAN FRANCISCO,CA,94158-2509,,"Human Services organization in SAN FRANCISCO, CA with annual revenue of approximately $45M",
CROUSE MEDICAL PRACTICE PLLC,800548096,Health,739 IRVING AVE STE 340A,SYRACUSE,NY,13210-1607,,"Health organization in SYRACUSE, NY with annual revenue of approximately $45M",
GLENRIDGE ON PALMER RANCH INC,593472733,Other,7333 SCOTLAND WAY,SARASOTA,FL,34238-8530,,"Other organization in SARASOTA, FL with annual revenue of approximately $45M",
FOUNDATION FOR THE ELDERLY,223183035,Human Services,260 DOUGHTY BLVD,INWOOD,NY,11096-1343,,"Human Services organization in INWOOD, NY with annual revenue of approximately $45M",
CARROLL COUNTY MEMORIAL HOSPITAL,440629397,Health,1502 N JEFFERSON ST,CARROLLTON,MO,64633-1948,,"Health organization in CARROLLTON, MO with annual revenue of approximately $45M",
SUNNYSIDE HOME CARE PROJECT INC,112515996,Health,43-31 39TH STREET,LONG ISLAND CITY,NY,11104-4316,,"Health organization in LONG ISLAND CITY, NY with annual revenue of approximately $45M",
CENTER FOR EDUCATION REFORM,521847187,Arts & Culture,1455 PENNSYLVANIA AVE NW STE 250,WASHINGTON,DC,20004-1030,,"Arts & Culture organization in WASHINGTON, DC with annual revenue of approximately $45M",
KANSAS CITY ART INSTITUTE,440546278,Education,4415 WARWICK BLVD,KANSAS CITY,MO,64111-1820,,"Education organization in KANSAS CITY, MO with annual revenue of approximately $45M",
OHIO CONNECTIONS ACADEMY INC,161677822,Education,5181 NATORP BLVD SUITE 410,MASON,OH,45040-7987,,"Education organization in MASON, OH with annual revenue of approximately $45M",
COMPLETE CARE COMMUNITY HEALTH CENTER INC,731663091,Health,3000 S ROBERTSON BLVD STE 280,LOS ANGELES,CA,90034-3144,,"Health organization in LOS ANGELES, CA with annual revenue of approximately $45M",
BABY2BABY,464503539,Other,5830 W JEFFERSON BLVD,LOS ANGELES,CA,90016-3109,,"Other organization in LOS ANGELES, CA with annual revenue of approximately $45M",
COMMUNITY SOLUTIONS INC,061580562,Health,175 ADDISON RD STE 3,WINDSOR,CT,06095-2179,,"Health organization in WINDSOR, CT with annual revenue of approximately $45M",
BLUE GRASS COMMUNITY FOUNDATION INC,616053466,Community,499 E HIGH ST STE 112,LEXINGTON,KY,40507-1977,,"Community organization in LEXINGTON, KY with annual revenue of approximately $45M",
