name,ein,category,address,city,state,zip_code,website,description,phone
EAH INC,941699153,Human Services,22 PELICAN WAY,SAN RAFAEL,CA,94901-5545,,"Human Services organization in SAN RAFAEL, CA with annual revenue of approximately $66M",
VCU HEALTH TAPPAHANNOCK HOSPITAL,541489410,Health,618 HOSPITAL RD,TAPPAHANNOCK,VA,22560-5000,,"Health organization in TAPPAHANNOCK, VA with annual revenue of approximately $66M",
RAVINIA FESTIVAL ASSOCIATION,366002273,Arts & Culture,418 SHERIDAN RD,HIGHLAND PARK,IL,60035-5031,,"Arts & Culture organization in HIGHLAND PARK, IL with annual revenue of approximately $66M",
MONMOUTH COLLEGE,370661228,Education,700 E BROADWAY,MONMOUTH,IL,61462-1963,,"Education organization in MONMOUTH, IL with annual revenue of approximately $66M",
HEALTH CARE AND REHABILITATION SERVICES OF SOUTHEASTERN VERMONT I,237017624,Health,390 RIVER ST,SPRINGFIELD,VT,05156-2226,,"Health organization in SPRINGFIELD, VT with annual revenue of approximately $66M",
ILLINOIS WESLEYAN UNIVERSITY,370662594,Education,PO BOX 2900,BLOOMINGTON,IL,61702-2900,,"Education organization in BLOOMINGTON, IL with annual revenue of approximately $66M",
THE GOG FOUNDATION INC,030466352,Health,3168 BRAVERTON ST STE 280,EDGEWATER,MD,21037-2676,,"Health organization in EDGEWATER, MD with annual revenue of approximately $66M",
GOVERNORS ISLAND CORPORATION,272683349,Health,10 SOUTH STREET SLIP 7,NEW YORK,NY,10004-1921,,"Health organization in NEW YORK, NY with annual revenue of approximately $66M",
COMMUNITY HOSPITAL ASSOCIATION,470533373,Health,1301 E H ST,MCCOOK,NE,69001-3482,,"Health organization in MCCOOK, NE with annual revenue of approximately $66M",
MOUNT VERNON LADIES ASSOCIATION OF THE UNION,540564701,Arts & Culture,PO BOX 110,MOUNT VERNON,VA,22121-0110,,"Arts & Culture organization in MOUNT VERNON, VA with annual revenue of approximately $66M",
CLAY COUNTY MEDICAL CORPORATION,640668465,Health,830 S GLOSTER ST,TUPELO,MS,38801-4934,,"Health organization in TUPELO, MS with annual revenue of approximately $66M",
ST MARGARET OF SCOTLAND EPISCOPAL SCHOOL,953408913,Other,31641 LA NOVIA AVE,SAN JUAN CAPO,CA,92675-2752,,"Other organization in SAN JUAN CAPO, CA with annual revenue of approximately $66M",
FOODBANK FOR THE HEARTLAND,470637701,Other,10525 J ST,OMAHA,NE,68127-1021,,"Other organization in OMAHA, NE with annual revenue of approximately $66M",
LEGACY TREATMENT SERVICES INC,210638161,Human Services,1289 ROUTE 38 STE 203,HAINESPORT,NJ,08036-2730,,"Human Services organization in HAINESPORT, NJ with annual revenue of approximately $66M",
CENTENNIAL MEDICAL GROUP INC,263946191,Health,2700 NW STEWART PKWY,ROSEBURG,OR,97471-1281,,"Health organization in ROSEBURG, OR with annual revenue of approximately $65M",
WILDLANDS CONSERVANCY,330676450,Environment,39611 OAK GLEN RD UNIT 12,YUCAIPA,CA,92399-9472,,"Environment organization in YUCAIPA, CA with annual revenue of approximately $65M",
