name,ein,category,address,city,state,zip_code,website,description,phone
COMMUNITY MEMORIAL HOSPITAL ASSOCIATION,410743546,Health,512 SKYLINE BLVD,CLOQUET,MN,55720-3787,,"Health organization in CLOQUET, MN with annual revenue of approximately $72M",
WHITE HOUSE HISTORICAL ASSOCIATION,520749685,Arts & Culture,740 JACKSON PLACE NW,WASHINGTON,DC,20006-0000,,"Arts & Culture organization in WASHINGTON, DC with annual revenue of approximately $72M",
GOOD NEIGHBORS GLOBAL PARTNERSHIP CENTER,813404708,International,131 N TUSTIN AVE STE 206,TUSTIN,CA,92780-2964,,"International organization in TUSTIN, CA with annual revenue of approximately $72M",
NEW HANOVER COMMUNITY ENDOWMENT INC,853563370,Community,PO BOX 4730,WILMINGTON,NC,28406-1730,,"Community organization in WILMINGTON, NC with annual revenue of approximately $72M",
LUDWIG INSTITUTE FOR CANCER RESEARCH,237121131,Other,600 3RD AVE FL 32,NEW YORK,NY,10016-1932,,"Other organization in NEW YORK, NY with annual revenue of approximately $72M",
MT WASHINGTON PEDIATRIC HOSPITAL INC,520591483,Health,1708 W ROGERS AVE,BALTIMORE,MD,21209-4545,,"Health organization in BALTIMORE, MD with annual revenue of approximately $72M",
LIFELONG LEARNING ADMINISTRATION CORPORATION,475307489,Education,177 HOLSTON DR,LANCASTER,CA,93535-4570,,"Education organization in LANCASTER, CA with annual revenue of approximately $72M",
SERVEMINNESOTA,412010058,Community,120 S 6TH ST STE 2260,MINNEAPOLIS,MN,55402-1824,,"Community organization in MINNEAPOLIS, MN with annual revenue of approximately $72M",
SAN DIEGO HUMANE SOCIETY AND S P C A,951661688,Health,5500 GAINES ST,SAN DIEGO,CA,92110-2572,,"Health organization in SAN DIEGO, CA with annual revenue of approximately $72M",
VIEWPOINT EDUCATIONAL FOUNDATION,952242261,Other,23620 MULHOLLAND HWY,CALABASAS,CA,91302-2060,,"Other organization in CALABASAS, CA with annual revenue of approximately $72M",
