name,ein,category,address,city,state,zip_code,website,description,phone
ELIZABETH GLASER PEDIATRIC AIDS FOUNDATION,954191698,Health,1350 I ST NW STE 400,WASHINGTON,DC,20005-7201,,"Health organization in WASHINGTON, DC with annual revenue of approximately $162M",
VALLEY CHILDRENS MEDICAL GROUP,464150987,Health,9300 VALLEY CHILDRENS PL,MADERA,CA,93636-8762,,"Health organization in MADERA, CA with annual revenue of approximately $162M",
THE MOORINGS INCORPORATED,591834357,Human Services,120 MOORINGS PARK DR,NAPLES,FL,34105-2122,,"Human Services organization in NAPLES, FL with annual revenue of approximately $162M",
PRAIRIE LAKES HEALTH CARE SYSTEM INC,460391067,Health,401 9TH AVE NW,WATERTOWN,SD,57201-1548,,"Health organization in WATERTOWN, SD with annual revenue of approximately $161M",
TRUSTED FRATERNAL LIFE,390201015,Other,1100 W WELLS ST,MILWAUKEE,WI,53233-2332,,"Other organization in MILWAUKEE, WI with annual revenue of approximately $161M",
BRISTOL HOSPITAL INCORPORATED,060646559,Health,PO BOX 977,BRISTOL,CT,06011-0977,,"Health organization in BRISTOL, CT with annual revenue of approximately $161M",
OPTIONS FOR LEARNING,953602641,Other,2934 E GARVEY AVE S STE 301,WEST COVINA,CA,91791-2192,,"Other organization in WEST COVINA, CA with annual revenue of approximately $161M",
NORTH CENTRAL COLLEGE,362169157,Education,451 S BRAINARD ST,NAPERVILLE,IL,60540-5461,,"Education organization in NAPERVILLE, IL with annual revenue of approximately $161M",
NIAGARA UNIVERSITY,160755807,Education,LEWISTON RD,NIAGARA UNIVERSITY,NY,14109-0000,,"Education organization in NIAGARA UNIVERSITY, NY with annual revenue of approximately $161M",
UNIONTOWN HOSPITAL,250965588,Health,500 W BERKELEY ST,UNIONTOWN,PA,15401-5514,,"Health organization in UNIONTOWN, PA with annual revenue of approximately $161M",
WILLIAM & MARY FOUNDATION,540734117,Education,5300 DISCOVERY PARK BLVD 3RD FLOOR,WILLIAMSBURG,VA,23188-2695,,"Education organization in WILLIAMSBURG, VA with annual revenue of approximately $161M",
JACK JOSEPH AND MORTON MANDEL SUPPORTING FOUNDATION,341350566,Community,25701 SCIENCE PARK DR,CLEVELAND,OH,44122-7302,,"Community organization in CLEVELAND, OH with annual revenue of approximately $161M",
IVINSON MEMORIAL HOSPITAL,300975387,Health,255 N 30TH ST,LARAMIE,WY,82072-5140,,"Health organization in LARAMIE, WY with annual revenue of approximately $161M",
QUEENS BOROUGH PUBLIC LIBRARY,111904262,Education,8911 MERRICK BLVD,JAMAICA,NY,11432-5242,,"Education organization in JAMAICA, NY with annual revenue of approximately $161M",
ST FRANCIS HOSPITAL INC,510064326,Health,701 N CLAYTON ST,WILMINGTON,DE,19805-3165,,"Health organization in WILMINGTON, DE with annual revenue of approximately $161M",
COLUMBUS REGIONAL HEALTHCARE SYSTEM,560538020,Health,500 JEFFERSON ST,WHITEVILLE,NC,28472-3634,,"Health organization in WHITEVILLE, NC with annual revenue of approximately $161M",
LOUISIANA STATE UNIVERSITY OF MEDICINE IN NEW ORLEANS,721304948,Health,2025 GRAVIER ST 6TH FL,NEW ORLEANS,LA,70112-2269,,"Health organization in NEW ORLEANS, LA with annual revenue of approximately $161M",
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM INC,043229679,Health,CO BILH TAX 529 MAIN ST 4TH FL,CHARLESTOWN,MA,02129-0000,,"Health organization in CHARLESTOWN, MA with annual revenue of approximately $161M",
NAZARETH HOSPITAL,232794121,Health,3805 WEST CHESTER PIKE STE 100,NEWTOWN SQ,PA,19073-2329,,"Health organization in NEWTOWN SQ, PA with annual revenue of approximately $161M",
SALK INSTITUTE FOR BIOLOGICAL STUDIES,952160097,Research,10010 N TORREY PINES RD,LA JOLLA,CA,92037-1002,,"Research organization in LA JOLLA, CA with annual revenue of approximately $161M",
CHILDNET INC,651149351,Human Services,1100 W MCNAB RD,FT LAUDERDALE,FL,33309-1116,,"Human Services organization in FT LAUDERDALE, FL with annual revenue of approximately $161M",
THE GUTHRIE CLINIC,233055017,Health,1 GUTHRIE SQUARE,SYRE,PA,18840-1625,,"Health organization in SYRE, PA with annual revenue of approximately $161M",
LEHIGH VALLEY HOSPITAL - SCHUYKILL,231352202,Health,PO BOX 4000,ALLENTOWN,PA,18105-4000,,"Health organization in ALLENTOWN, PA with annual revenue of approximately $160M",
FORT HEALTHCARE INC,390286215,Health,611 SHERMAN AVE E,FORT ATKINSON,WI,53538-1960,,"Health organization in FORT ATKINSON, WI with annual revenue of approximately $160M",
GENESIS HEALTH SYSTEM,363616314,Health,801 ILLINI DR,SILVIS,IL,61282-1804,,"Health organization in SILVIS, IL with annual revenue of approximately $160M",
MISSOURI DELTA MEDICAL CENTER,430633449,Health,1008 N MAIN ST,SIKESTON,MO,63801-5044,,"Health organization in SIKESTON, MO with annual revenue of approximately $160M",
ADVOCATES INC,237451423,Health,1881 WORCESTER ROAD,FRAMINGHAM,MA,01701-5410,,"Health organization in FRAMINGHAM, MA with annual revenue of approximately $160M",
INTERNATIONAL GENEROSITY FOUNDATION TRUST,843754469,Religion,1901 ULMERTON RD STE 400,CLEARWATER,FL,33762-2311,,"Religion organization in CLEARWATER, FL with annual revenue of approximately $160M",
PENN STATE HEALTH HAMPDEN MEDICAL CENTER,851608328,Health,PO BOX 804,HERSHEY,PA,17033-0804,,"Health organization in HERSHEY, PA with annual revenue of approximately $160M",
ST JOHN FISHER UNIVERSITY,160746864,Education,3690 EAST AVE,ROCHESTER,NY,14618-3537,,"Education organization in ROCHESTER, NY with annual revenue of approximately $160M",
FRIENDSHIP PUBLIC CHARTER SCHOOL,582398964,Education,111 O ST NW,WASHINGTON,DC,20001-1144,,"Education organization in WASHINGTON, DC with annual revenue of approximately $160M",
PIEDMONT WALTON HOSPITAL INC,824194264,Health,1800 HOWELL MILL RD,ATLANTA,GA,30318-2538,,"Health organization in ATLANTA, GA with annual revenue of approximately $160M",
BELLEVUE UNIVERSITY,470491571,Education,1000 GALVIN RD S,BELLEVUE,NE,68005-3058,,"Education organization in BELLEVUE, NE with annual revenue of approximately $160M",
GREATER WASHINGTON URBAN LEAGUE INC,530208981,Human Services,2901 14TH ST NW,WASHINGTON,DC,20009-6839,,"Human Services organization in WASHINGTON, DC with annual revenue of approximately $159M",
BLOODWORKS,911019655,Health,921 TERRY AVE,SEATTLE,WA,98104-1239,,"Health organization in SEATTLE, WA with annual revenue of approximately $159M",
C H M C ANESTHESIA FOUNDATION INC,042702169,Health,300 LONGWOOD AVENUE BADER3,BOSTON,MA,02115-5724,,"Health organization in BOSTON, MA with annual revenue of approximately $159M",
CHASE BREXTON HEALTH SERVICES INC,521638592,Health,1111 N CHARLES ST,BALTIMORE,MD,21201-5505,,"Health organization in BALTIMORE, MD with annual revenue of approximately $159M",
ENTERPRISE COMMUNITY PARTNERS INC,521231931,Community,11000 BROKEN LAND PKWY,COLUMBIA,MD,21044-3541,,"Community organization in COLUMBIA, MD with annual revenue of approximately $159M",
BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL,824052186,Health,301 N WASHINGTON AVE,DALLAS,TX,75246-1754,,"Health organization in DALLAS, TX with annual revenue of approximately $159M",
GRANDE RONDE HOSPITAL INC,930505325,Health,900 SUNSET DR,LA GRANDE,OR,97850-1362,,"Health organization in LA GRANDE, OR with annual revenue of approximately $159M",
WESTERN REGIONAL MEDICAL CENTER LLC,320197974,Health,1500 DUARTE RD,DUARTE,CA,91010-3012,,"Health organization in DUARTE, CA with annual revenue of approximately $159M",
MONTAGE HEALTH,942789696,Health,PO BOX HH,MONTEREY,CA,93942-6032,,"Health organization in MONTEREY, CA with annual revenue of approximately $159M",
MANA NUTRITIVE AID PRODUCTS INC,270165743,International,130 LIBRARY LANE,MATTHEWS,NC,28105-5413,,"International organization in MATTHEWS, NC with annual revenue of approximately $159M",
SERVICESOURCE INC,540901256,Human Services,10467 WHITE GRANITE DR,OAKTON,VA,22124-2763,,"Human Services organization in OAKTON, VA with annual revenue of approximately $159M",
FAYETTE PHYSICIAN NETWORK INC,455440305,Health,1 MEDICAL CENTER DR BOX 8034,MORGANTOWN,WV,26506-1200,,"Health organization in MORGANTOWN, WV with annual revenue of approximately $158M",
REDINGTON-FAIRVIEW GENERAL HOSPITAL,010284446,Health,PO BOX 468,SKOWHEGAN,ME,04976-0468,,"Health organization in SKOWHEGAN, ME with annual revenue of approximately $158M",
ECKERD COLLEGE,590859121,Education,4200 54TH AVE S,ST PETERSBURG,FL,33711-4744,,"Education organization in ST PETERSBURG, FL with annual revenue of approximately $158M",
SAMARITAN PACIFIC HEALTH SERVICES INC,931329784,Health,PO BOX 3000,CORVALLIS,OR,97339-3000,,"Health organization in CORVALLIS, OR with annual revenue of approximately $158M",
XAVIER UNIVERSITY OF LOUISIANA,720635884,Education,1 DREXEL DR,NEW ORLEANS,LA,70125-1056,,"Education organization in NEW ORLEANS, LA with annual revenue of approximately $158M",
UTAH FOOD BANK,870212453,Other,3150 S 900 W,S SALT LAKE,UT,84119-2471,,"Other organization in S SALT LAKE, UT with annual revenue of approximately $158M",
HEALTHEAST MEDICAL RESEARCH INSTITUTE,411765832,Health,2450 RIVERSIDE AVE,MINNEAPOLIS,MN,55454-1450,,"Health organization in MINNEAPOLIS, MN with annual revenue of approximately $158M",
SOLUTIONHEALTH,830741190,Health,360 ROUTE 101 STE 8,BEDFORD,NH,03110-5045,,"Health organization in BEDFORD, NH with annual revenue of approximately $158M",
