name,ein,category,address,city,state,zip_code,website,description,phone
YOUNG MENS CHRISTIAN ASSOCIATION OF CENTRAL MARYLAND INC,520591699,Human Services,303 W CHESAPEAKE AVE,BALTIMORE,MD,21204-4406,,"Human Services organization in BALTIMORE, MD with annual revenue of approximately $101M",
ALLIANCE OF NONPROFITS FOR INSURANCE RISK RETENTION GROUP INC,061555320,Other,PO BOX 8507,SANTA CRUZ,CA,95061-8507,,"Other organization in SANTA CRUZ, CA with annual revenue of approximately $101M",
METROPOLITAN ENTERTAINMENT &,911846837,Community,455 N 10TH ST,OMAHA,NE,68102-1151,,"Community organization in OMAHA, NE with annual revenue of approximately $101M",
BAYSTATE WING HOSPITAL CORPORATION,222519813,Health,40 WRIGHT ST,PALMER,MA,01069-1138,,"Health organization in PALMER, MA with annual revenue of approximately $101M",
CATHOLIC CHARITIES OF THE DIOCESE OF ROCHESTER,300553416,Other,1150 BUFFALO RD,ROCHESTER,NY,14624-1823,,"Other organization in ROCHESTER, NY with annual revenue of approximately $101M",
WASHOE BARTON MEDICAL CLINIC A NEVADA NONPROFIT CORPORATION,880405927,Health,1107 US HIGHWAY 395 N,GARDNERVILLE,NV,89410-5304,,"Health organization in GARDNERVILLE, NV with annual revenue of approximately $101M",
NDC HOUSING AND ECONOMIC DEVELOPMENT CORPORATION,911884698,Human Services,633 THIRD AVE 19J,NEW YORK,NY,10017-6706,,"Human Services organization in NEW YORK, NY with annual revenue of approximately $101M",
MARYLAND FOOD BANK INC,521135690,Other,2200 HALETHORPE FARMS RD,BALTIMORE,MD,21227-4551,,"Other organization in BALTIMORE, MD with annual revenue of approximately $101M",
MOSES CONE MEDICAL SERVICES INC,561714318,Health,1200 N ELM ST,GREENSBORO,NC,27401-1004,,"Health organization in GREENSBORO, NC with annual revenue of approximately $101M",
BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER INC,470379834,Health,4800 HOSPITAL PKWY,BEATRICE,NE,68310-6906,,"Health organization in BEATRICE, NE with annual revenue of approximately $101M",
WELVISTA,562034627,Health,121 GREYSTONE BLVD,COLUMBIA,SC,29210-8002,,"Health organization in COLUMBIA, SC with annual revenue of approximately $101M",
SALEM HEALTH WEST VALLEY,431960221,Health,525 SE WASHINGTON ST,DALLAS,OR,97338-2834,,"Health organization in DALLAS, OR with annual revenue of approximately $101M",
