name,ein,category,address,city,state,zip_code,website,description,phone
GRMC INC,871846814,Health,251 N 4TH ST,OAKLAND,MD,21550-1375,,"Health organization in OAKLAND, MD with annual revenue of approximately $80M",
SISTERS OF MARY OF THE PRESENTATION LONG TERM CARE,752999939,Health,1202 PAGE DR S,FARGO,ND,58103-2340,,"Health organization in FARGO, ND with annual revenue of approximately $80M",
PACIFIC COAST ACADEMY,821707686,Education,13915 DANIELSON ST STE 103,POWAY,CA,92064-8884,,"Education organization in POWAY, CA with annual revenue of approximately $80M",
COMMUNITY FOUNDATION OF SARASOTA COUNTY INC,591956886,Community,2635 FRUITVILLE RD,SARASOTA,FL,34237-5222,,"Community organization in SARASOTA, FL with annual revenue of approximately $80M",
COSSMA INC,660434923,Health,PO BOX 1330,CIDRA,PR,00739-1330,,"Health organization in CIDRA, PR with annual revenue of approximately $80M",
AMSTERDAM NURSING HOME CORPORATION,133834710,Health,1060 AMSTERDAM AVE,NEW YORK,NY,10025-1715,,"Health organization in NEW YORK, NY with annual revenue of approximately $80M",
MARYMOUNT MANHATTAN COLLEGE,131628206,Education,221 E 71ST ST,NEW YORK,NY,10021-4532,,"Education organization in NEW YORK, NY with annual revenue of approximately $80M",
50CAN INC,273069592,Education,1380 MONROE ST NW 413,WASHINGTON,DC,20010-3452,,"Education organization in WASHINGTON, DC with annual revenue of approximately $80M",
HUDSON HOSPITAL INC,390804125,Health,405 STAGELINE RD,HUDSON,WI,54016-7848,,"Health organization in HUDSON, WI with annual revenue of approximately $80M",
YOUNG MENS CHRISTIAN ASSOCIATION OF SILICON VALLEY,941156318,Human Services,550 S WINCHESTER BLVD STE 250,SAN JOSE,CA,95128-2526,,"Human Services organization in SAN JOSE, CA with annual revenue of approximately $80M",
LIFEPATH HOSPICE INC,205276870,Health,12470 TELECOM DR STE 300,TEMPLE TERR,FL,33637-0904,,"Health organization in TEMPLE TERR, FL with annual revenue of approximately $80M",
NYSARC INC,146028767,Other,162 E BROADWAY,MONTICELLO,NY,12701-8815,,"Other organization in MONTICELLO, NY with annual revenue of approximately $80M",
SEMINOLE BOOSTERS INC,591561180,Education,PO BOX 1353,TALLAHASSEE,FL,32302-1353,,"Education organization in TALLAHASSEE, FL with annual revenue of approximately $80M",
ALLIES INC,223677684,Human Services,1262 WHITEHORSE HAMILTON SQUARE RD,HAMILTON,NJ,08690-3711,,"Human Services organization in HAMILTON, NJ with annual revenue of approximately $80M",
PROMEDICA COLDWATER REGIONAL HOSPITAL,386108110,Health,1000 JACKSON ST,TOLEDO,OH,43604-5515,,"Health organization in TOLEDO, OH with annual revenue of approximately $80M",
TRINITY CHRISTIAN CENTER OF SANTA ANA INC,952844062,Religion,2442 MICHELLE DR,TUSTIN,CA,92780-7015,,"Religion organization in TUSTIN, CA with annual revenue of approximately $80M",
CATHOLIC CHARITIES A COMMUNITY SERVICE MINISTRY OF THE DIOCESE OF,237334012,Human Services,3888 PADUCAH DR,SAN DIEGO,CA,92117-5349,,"Human Services organization in SAN DIEGO, CA with annual revenue of approximately $80M",
