name,ein,category,address,city,state,zip_code,website,description,phone
NATIONAL BOARD OF OSTEOPATHIC MEDICAL EXAMINERS INC,364135679,Arts & Culture,8765 W HIGGINS RD STE 200,CHICAGO,IL,60631-4174,,"Arts & Culture organization in CHICAGO, IL with annual revenue of approximately $32M",
VALLEY SPECIAL NEEDS PROGRAMS INC,251292796,Human Services,PO BOX 8,MT PLEASANT,PA,15666-0008,,"Human Services organization in MT PLEASANT, PA with annual revenue of approximately $32M",
A SECOND CHANCE INC,251729710,Human Services,8350 FRANKSTOWN AVE,PITTSBURGH,PA,15221-1336,,"Human Services organization in PITTSBURGH, PA with annual revenue of approximately $32M",
ICAST INTERNATIONL CENTER FOR APPROPRIATE & SUSTANABL TECHNOLOGY,412139623,Community,7400 W 14TH AVE STE 101,LAKEWOOD,CO,80214-4252,,"Community organization in LAKEWOOD, CO with annual revenue of approximately $32M",
PAWS CHICAGO,364219778,Health,1997 N CLYBOURN AVE,CHICAGO,IL,60614-4922,,"Health organization in CHICAGO, IL with annual revenue of approximately $32M",
COMPASS CHARTER SCHOOLS,453643984,Education,850 HAMPSHIRE RD STE R,THOUSAND OAKS,CA,91361-6006,,"Education organization in THOUSAND OAKS, CA with annual revenue of approximately $32M",
PETER BECKER COMMUNITY,236299695,Other,800 MAPLE AVE,HARLEYSVILLE,PA,19438-1032,,"Other organization in HARLEYSVILLE, PA with annual revenue of approximately $32M",
HADASSAH MEDICAL RELIEF ASSOCIATION INC,136110872,International,40 WALL STREET,NEW YORK,NY,10005-1304,,"International organization in NEW YORK, NY with annual revenue of approximately $32M",
SANCTUARY FOR FAMILIES INC,133193119,Human Services,120 BROADWAY 7TH FLOOR,NEW YORK,NY,10271-0021,,"Human Services organization in NEW YORK, NY with annual revenue of approximately $32M",
OUR RESCUE,463614979,Arts & Culture,YOUNG QUINLAN BLDG 81 S 9TH STREET,MINNEAPOLIS,MN,55402-0000,,"Arts & Culture organization in MINNEAPOLIS, MN with annual revenue of approximately $32M",
HOSPICE OF ST FRANCIS INC,591795440,Human Services,1250 GRUMMAN PL STE B,TITUSVILLE,FL,32780-7927,,"Human Services organization in TITUSVILLE, FL with annual revenue of approximately $32M",
MERCY DRIVE INC,043831639,Human Services,7235 112TH ST STE PR1,FOREST HILLS,NY,11375-5451,,"Human Services organization in FOREST HILLS, NY with annual revenue of approximately $32M",
WILLOW HEALTH CARE INC,431124995,Health,2642 HWY 76,WILLOW SPRINGS,MO,65793-8254,,"Health organization in WILLOW SPRINGS, MO with annual revenue of approximately $32M",
MILWAUKEE JEWISH FEDERATION INC,390806312,Community,1360 N PROSPECT AVE,MILWAUKEE,WI,53202-3056,,"Community organization in MILWAUKEE, WI with annual revenue of approximately $32M",
THE BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN INC,520787237,Education,14299 BENEDICTINE LN,RIDGELY,MD,21660-1434,,"Education organization in RIDGELY, MD with annual revenue of approximately $32M",
SECOND FAMILY INC,522104091,Human Services,4611 ASSEMBLY DRIVE,LANHAM,MD,20706-4371,,"Human Services organization in LANHAM, MD with annual revenue of approximately $32M",
