charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_1_value,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_2_value,item_3_name,item_3_category,item_3_condition,item_3_quantity,item_3_value
AMERICAN CANCER SOCIETY,2024-01-02,cash,300,Monthly donation,,,,,,,,,,,,,,,
MAYO CLINIC,2023-12-29,cash,400,Annual contribution,,,,,,,,,,,,,,,
Local Health Foundation,2024-01-10,crypto,68.14,Ethereum donation - 0.034 units,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-01-06,cash,50,Annual contribution,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-01-05,stock,3555.04,Johnson & Johnson - 22 shares at $161.59/share,,,,,,,,,,,,,,,
MAYO CLINIC,2024-01-16,cash,50,General support,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-01-18,cash,400,Monthly donation,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-01-20,cash,150,Annual contribution,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-01-15,items,60.0,Seasonal donation,Keyboard - Mechanical,Electronics,very_good,1,60.0,,,,,,,,,,
Community Health Center,2024-01-22,items,55.0,Spring cleaning donation,Blender - Regular,Appliances,excellent,1,55.0,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-01-22,stock,6244.99,Alphabet - 46 shares at $135.76/share,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-01-21,items,15.0,Estate donation,Graphic Novel,Books & Media,good,3,15.0,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-01-22,items,15.0,Estate donation,Vinyl Record - Classic,Books & Media,good,1,5.0,Puzzle - 1000pc,Books & Media,very_good,1,10.0,,,,,
AMERICAN HEART ASSOCIATION,2024-01-29,cash,75,General support,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-01-29,stock,1684.52,Tesla - 7 shares at $240.65/share,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-02-03,cash,75,Annual contribution,,,,,,,,,,,,,,,
Local Health Foundation,2024-02-04,items,28.0,Decluttering donation,Video Game - Recent,Books & Media,excellent,1,28.0,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-02-07,cash,250,Year-end giving,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-02-07,cash,100,General support,,,,,,,,,,,,,,,
Community Health Center,2024-02-13,cash,150,Monthly donation,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-12,cash,250,Special appeal,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-02-13,items,600.0,Decluttering donation,TV - 65 inch,Electronics,excellent,1,600.0,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-02-10,crypto,89.58,Ethereum donation - 0.0388 units,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-11,items,36.0,Spring cleaning donation,Blu-ray - Movie,Books & Media,excellent,1,12.0,Board Game - Family,Books & Media,very_good,1,15.0,Puzzle - 500pc,Books & Media,good,3,9.0
AMERICAN HEART ASSOCIATION,2024-02-21,items,178.0,Decluttering donation,Blu-ray Box Set,Books & Media,very_good,4,160.0,Dictionary,Books & Media,excellent,1,18.0,,,,,
SCHOLARSHIP AMERICA,2024-02-22,cash,200,General support,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-02-19,items,32.0,Spring cleaning donation,Earbuds - Wired,Electronics,excellent,1,32.0,,,,,,,,,,
MAYO CLINIC,2024-02-23,cash,400,Annual contribution,,,,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-29,miles,65.66,98 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-02-27,crypto,392.45,Bitcoin donation - 0.0088 units,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-03-02,stock,6799.41,Tesla - 33 shares at $206.04/share,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-03-03,cash,400,General support,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-02-29,cash,500,Special appeal,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-03-03,stock,4266.62,Amazon - 26 shares at $164.10/share,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-03-04,crypto,48.66,Cardano donation - 89.84 units,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-03-07,cash,100,Annual contribution,,,,,,,,,,,,,,,
Community Health Center,2024-03-15,crypto,44.65,Cardano donation - 148.81 units,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-03-20,cash,50,Monthly donation,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-03-18,crypto,77.99,Ethereum donation - 0.0291 units,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-03-19,cash,150,Monthly donation,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-03-22,cash,300,General support,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-03-22,cash,500,General support,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-03-27,cash,500,Annual contribution,,,,,,,,,,,,,,,
Community Health Center,2024-03-23,miles,93.8,140 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-04-02,stock,5652.19,Walmart - 32 shares at $176.63/share,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-04-03,items,90.0,Decluttering donation,Laptop - Chromebook,Electronics,good,1,75.0,Mouse - Regular,Electronics,very_good,1,15.0,,,,,
Community Health Center,2024-04-04,cash,150,Annual contribution,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-04-07,items,115.0,Year-end donation,Video Game - Recent,Books & Media,excellent,4,112.0,Puzzle - 500pc,Books & Media,good,1,3.0,,,,,
Community Health Center,2024-04-06,items,130.0,Estate donation,Vacuum - Canister,Appliances,excellent,1,130.0,,,,,,,,,,
TEACH FOR AMERICA,2024-04-10,stock,9736.83,Tesla - 46 shares at $211.67/share,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-04-10,items,130.0,Estate donation,Fitness Tracker,Electronics,good,1,25.0,Mouse - Gaming,Electronics,very_good,1,35.0,E-Reader,Electronics,very_good,1,70.0
AMERICAN DIABETES ASSOCIATION,2024-04-09,miles,27.47,41 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-04-15,items,125.0,Year-end donation,Card Game,Books & Media,good,4,20.0,Textbook - General,Books & Media,excellent,3,105.0,,,,,
Community Health Center,2024-04-13,cash,150,Monthly donation,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-04-13,miles,100.5,150 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,,,,
SCHOLARSHIP AMERICA,2024-04-18,cash,50,Special appeal,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-04-17,miles,129.31,193 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-04-26,miles,117.25,175 miles at $0.67/mile - Event transportation,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-04-24,cash,500,Annual contribution,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-04-26,cash,100,Annual contribution,,,,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-05-02,cash,50,Year-end giving,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-05-03,items,37.0,Seasonal donation,Board Game - Family,Books & Media,good,4,32.0,Board Game - Classic,Books & Media,good,1,5.0,,,,,
AMERICAN CANCER SOCIETY,2024-05-01,crypto,1158.49,Bitcoin donation - 0.0288 units,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-05-07,items,300.0,Year-end donation,Monitor - 4K,Electronics,very_good,1,200.0,Tablet - iPad,Electronics,good,1,100.0,,,,,
SCHOLARSHIP AMERICA,2024-05-06,cash,500,Annual contribution,,,,,,,,,,,,,,,
Community Health Center,2024-05-07,items,65.0,Seasonal donation,Blu-ray - Movie,Books & Media,good,1,4.0,Board Game - Strategy,Books & Media,excellent,1,55.0,Puzzle - 500pc,Books & Media,good,2,6.0
AMERICAN CANCER SOCIETY,2024-05-13,stock,7812.1,Johnson & Johnson - 46 shares at $169.83/share,,,,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-05-17,cash,150,Annual contribution,,,,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-05-19,cash,300,General support,,,,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-05-15,stock,17683.87,Microsoft - 44 shares at $401.91/share,,,,,,,,,,,,,,,
RONALD MCDONALD HOUSE CHARITIES,2024-05-26,cash,200,Special appeal,,,,,,,,,,,,,,,
Local Health Foundation,2024-05-26,stock,4610.52,Alphabet - 28 shares at $164.66/share,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-05-24,cash,50,General support,,,,,,,,,,,,,,,
Community Health Center,2024-05-25,cash,100,Year-end giving,,,,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-05-25,cash,400,Annual contribution,,,,,,,,,,,,,,,
TEACH FOR AMERICA,2024-05-28,items,1130.0,Year-end donation,Smartphone - iPhone,Electronics,excellent,2,950.0,SSD Drive,Electronics,good,1,40.0,Keyboard - Mechanical,Electronics,good,4,140.0
MAYO CLINIC,2024-05-29,items,138.0,Seasonal donation,Board Game - Strategy,Books & Media,excellent,2,110.0,Novel - Paperback,Books & Media,excellent,2,10.0,Vinyl Record - Classic,Books & Media,excellent,1,18.0
AMERICAN CANCER SOCIETY,2024-05-31,items,625.0,Estate donation,Microwave - Over Range,Appliances,good,1,75.0,Range - Electric,Appliances,excellent,1,550.0,,,,,
