charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_3_name,item_3_category,item_3_condition,item_3_quantity
AMERICAN HEART ASSOCIATION,2023-12-28,cash,200,General support,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-01-03,items,,Seasonal donation,Xbox Series X,Electronics,good,1,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-01-08,crypto,8.03,Ethereum donation - 0.0033 units,,,,,,,,,,,,
ST JUDE CHILDRENS RESEARCH HOSPITAL,2024-01-09,items,,Year-end donation,Vacuum - Dyson,Appliances,good,1,Food Processor,Appliances,very_good,2,,,,
MAYO CLINIC,2024-01-04,items,,Estate donation,Cookbook - Hardcover,Books & Media,good,3,Textbook - Law,Books & Media,good,1,Novel - Paperback,Books & Media,very_good,2
PENCILS OF PROMISE,2024-01-10,cash,500,Special appeal,,,,,,,,,,,,
AMERICAN CANCER SOCIETY,2024-01-17,stock,7337.87,Apple Inc. - 42 shares at $174.71/share,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-01-19,cash,500,General support,,,,,,,,,,,,
SHRINERS HOSPITALS FOR CHILDREN,2024-01-15,items,,Seasonal donation,Tablet - iPad,Electronics,very_good,2,Speakers - Bluetooth,Electronics,very_good,1,,,,
Community Health Center,2024-01-20,cash,400,Emergency fund,,,,,,,,,,,,
PENCILS OF PROMISE,2024-01-18,miles,103.85,155 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
PENCILS OF PROMISE,2024-01-20,cash,400,Monthly donation,,,,,,,,,,,,
AMERICAN HEART ASSOCIATION,2024-01-25,cash,150,General support,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-01-30,items,,Decluttering donation,Air Fryer,Appliances,very_good,1,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-03,miles,86.43,129 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
