charity_name,donation_date,donation_type,amount,notes,item_1_name,item_1_category,item_1_condition,item_1_quantity,item_2_name,item_2_category,item_2_condition,item_2_quantity,item_3_name,item_3_category,item_3_condition,item_3_quantity
NATIONAL AUDUBON SOCIETY,2024-01-02,crypto,1177.55,Bitcoin donation - 0.0283 units,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-01-05,cash,400,Special appeal,,,,,,,,,,,,
WORLD WILDLIFE FUND,2024-01-09,items,,Moving donation,Vacuum - Canister,Appliances,very_good,1,,,,,,,,
Community Environment Center,2024-01-11,cash,200,Special appeal,,,,,,,,,,,,
PENCILS OF PROMISE,2024-01-08,cash,500,Year-end giving,,,,,,,,,,,,
NATURE CONSERVANCY,2024-01-10,cash,300,General support,,,,,,,,,,,,
PENCILS OF PROMISE,2024-01-20,cash,100,Year-end giving,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-01-12,cash,400,Annual contribution,,,,,,,,,,,,
NATURE CONSERVANCY,2024-01-24,crypto,85.41,Ethereum donation - 0.041 units,,,,,,,,,,,,
OCEAN CONSERVANCY,2024-01-18,stock,1392.28,Alphabet - 9 shares at $154.70/share,,,,,,,,,,,,
NATIONAL AUDUBON SOCIETY,2024-01-22,cash,75,Monthly donation,,,,,,,,,,,,
Local Environment Foundation,2024-01-30,cash,300,General support,,,,,,,,,,,,
PENCILS OF PROMISE,2024-02-04,items,,Estate donation,Golf Cart,Sports & Recreation,very_good,1,Tent - 4 Person,Sports & Recreation,excellent,1,,,,
WORLD WILDLIFE FUND,2024-02-02,items,,Year-end donation,Wrench Set,Tools & Equipment,very_good,4,Pliers Set,Tools & Equipment,excellent,1,Pressure Washer,Tools & Equipment,good,1
OCEAN CONSERVANCY,2024-02-04,cash,250,Annual contribution,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-02-05,cash,500,General support,,,,,,,,,,,,
AMERICAN DIABETES ASSOCIATION,2024-02-05,stock,3159.42,Amazon - 19 shares at $166.29/share,,,,,,,,,,,,
PENCILS OF PROMISE,2024-02-10,crypto,66.7,Ethereum donation - 0.0293 units,,,,,,,,,,,,
NATURE CONSERVANCY,2024-02-11,cash,100,Year-end giving,,,,,,,,,,,,
PENCILS OF PROMISE,2024-02-10,items,,Estate donation,Sleeping Bag,Sports & Recreation,very_good,1,Golf Clubs - Iron Set,Sports & Recreation,very_good,1,Tennis Racket - Pro,Sports & Recreation,very_good,1
SIERRA CLUB FOUNDATION,2024-02-17,items,,Spring cleaning donation,Ladder - Extension,Tools & Equipment,very_good,4,Tape Measure,Tools & Equipment,good,1,,,,
NATIONAL AUDUBON SOCIETY,2024-02-24,miles,62.98,94 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
NATURE CONSERVANCY,2024-02-28,items,,Spring cleaning donation,Elliptical,Sports & Recreation,good,1,Bicycle - Kids,Sports & Recreation,good,1,Baseball Glove,Sports & Recreation,good,1
NATURE CONSERVANCY,2024-02-26,cash,100,Emergency fund,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-02-29,items,,Spring cleaning donation,Fan - Box,Appliances,excellent,1,,,,,,,,
Local Environment Foundation,2024-03-02,cash,75,Special appeal,,,,,,,,,,,,
OCEAN CONSERVANCY,2024-03-02,stock,3320.73,Alphabet - 23 shares at $144.38/share,,,,,,,,,,,,
Local Environment Foundation,2024-03-06,cash,200,Special appeal,,,,,,,,,,,,
PENCILS OF PROMISE,2024-03-09,cash,300,Special appeal,,,,,,,,,,,,
PENCILS OF PROMISE,2024-03-16,items,,Estate donation,Skateboard - Regular,Sports & Recreation,very_good,3,Tent - 2 Person,Sports & Recreation,good,1,Baseball Bat,Sports & Recreation,good,4
Local Environment Foundation,2024-03-17,miles,123.28,184 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
SIERRA CLUB FOUNDATION,2024-03-19,items,,Year-end donation,Range - Electric,Appliances,very_good,1,,,,,,,,
SIERRA CLUB FOUNDATION,2024-03-21,stock,4996.79,Microsoft - 14 shares at $356.91/share,,,,,,,,,,,,
PENCILS OF PROMISE,2024-03-21,cash,200,Emergency fund,,,,,,,,,,,,
ALZHEIMERS ASSOCIATION,2024-03-24,miles,115.24,172 miles at $0.67/mile - Volunteer driving,,,,,,,,,,,,
PENCILS OF PROMISE,2024-03-23,miles,40.2,60 miles at $0.67/mile - Supply delivery,,,,,,,,,,,,
ENVIRONMENTAL DEFENSE FUND,2024-03-27,items,,Decluttering donation,Saw - Jigsaw,Tools & Equipment,excellent,4,Router,Tools & Equipment,very_good,1,Air Compressor,Tools & Equipment,excellent,4
