name,ein,category,address,city,state,zip_code,website,description,phone
KANSAS CITY HOSPICE INC,431209344,Human Services,9001 STATE LINE RD STE 300,KANSAS CITY,MO,64114-3212,,"Human Services organization in KANSAS CITY, MO with annual revenue of approximately $37M",
INDIAN HEALTH COUNCIL INC,952506788,Health,50100 GOLSH RD,VALLEY CENTER,CA,92082-5338,,"Health organization in VALLEY CENTER, CA with annual revenue of approximately $37M",
CODE FOR AMERICA LABS,271067272,Community,972 MISSION ST 5TH FLOOR,SAN FRANCISCO,CA,94103-2994,,"Community organization in SAN FRANCISCO, CA with annual revenue of approximately $37M",
ALTURA CENTERS FOR HEALTH,770465378,Health,1134 E CARTMILL AVE,TULARE,CA,93274-9610,,"Health organization in TULARE, CA with annual revenue of approximately $37M",
PLANNED PARENTHOOD OF WISCONSN INC,390863391,Health,302 N JACKSON ST,MILWAUKEE,WI,53202-5904,,"Health organization in MILWAUKEE, WI with annual revenue of approximately $37M",
DAVIS & ELKINS COLLEGE,550357021,Education,100 CAMPUS DR,ELKINS,WV,26241-3971,,"Education organization in ELKINS, WV with annual revenue of approximately $37M",
CATHOLIC CHARITIES INC ARCHDIOCESE OF HARTFORD,060667607,Human Services,896 ASYLUM AVE,HARTFORD,CT,06105-1901,,"Human Services organization in HARTFORD, CT with annual revenue of approximately $37M",
COOKE SCHOOL AND INSTITUTE,133396691,Human Services,1713 MADISON AVE,NEW YORK,NY,10029-1801,,"Human Services organization in NEW YORK, NY with annual revenue of approximately $37M",
SAN FRANCISCO AIDS FOUNDATION,942927405,Other,940 HOWARD ST,SAN FRANCISCO,CA,94103-4114,,"Other organization in SAN FRANCISCO, CA with annual revenue of approximately $37M",
CLEVELAND INSTITUTE OF ART,340714334,Education,11610 EUCLID AVE,CLEVELAND,OH,44106-4349,,"Education organization in CLEVELAND, OH with annual revenue of approximately $37M",
MONTANA LAND RELIANCE,810369262,Environment,401 N CALIFORNIA ST,HELENA,MT,59601-4966,,"Environment organization in HELENA, MT with annual revenue of approximately $37M",
OZARK HEALTH INC,710407683,Health,2500 HIGHWAY 65 S,CLINTON,AR,72031-6588,,"Health organization in CLINTON, AR with annual revenue of approximately $37M",
LIFEWORKS INCORPORATED,222512887,Human Services,789 CLAPBOARDTREE ST,WESTWOOD,MA,02090-1717,,"Human Services organization in WESTWOOD, MA with annual revenue of approximately $37M",
THE ARC OF SAN DIEGO,951863913,Human Services,3030 MARKET ST,SAN DIEGO,CA,92102-3230,,"Human Services organization in SAN DIEGO, CA with annual revenue of approximately $37M",
PLYMOUTH PLACE INC,362169165,Human Services,315 N LA GRANGE RD,LA GRANGE PARK,IL,60526-1903,,"Human Services organization in LA GRANGE PARK, IL with annual revenue of approximately $37M",
LIGHTHOUSE COMMUNITY PUBLIC SCHOOLS,943370410,Education,444 HEGENBERGER RD,OAKLAND,CA,94621-1418,,"Education organization in OAKLAND, CA with annual revenue of approximately $37M",
LIFELINE CONNECTIONS,910787084,Health,1601 E 4TH PLAIN BLVD STE A212,VANCOVER,WA,98661-3713,,"Health organization in VANCOVER, WA with annual revenue of approximately $37M",
ATHENS REGIONAL PHYSICIAN SERVICES INC,582332921,Education,1199 PRINCE AVE,ATHENS,GA,30606-2797,,"Education organization in ATHENS, GA with annual revenue of approximately $37M",
PENNINGTON SCHOOL,210635004,Other,112 W DELAWARE AVE,PENNINGTON,NJ,08534-1601,,"Other organization in PENNINGTON, NJ with annual revenue of approximately $37M",
SOUTHWEST GEORGIA COMMUNITY ACTION COUNCIL INC,580957513,Other,PO BOX 3728,MOULTRIE,GA,31776-3728,,"Other organization in MOULTRIE, GA with annual revenue of approximately $37M",
THE WHOLE CHILD-MENTAL HEALTH & HOUSING SERVICES,952031148,Health,10155 COLIMA RD,WHITTIER,CA,90603-2042,,"Health organization in WHITTIER, CA with annual revenue of approximately $37M",
CIVIC SAN DIEGO,953035557,Community,8989 RIO SAN DIEGO DR STE 100,SAN DIEGO,CA,92108-1647,,"Community organization in SAN DIEGO, CA with annual revenue of approximately $37M",
STERLING CO,462455801,Other,PO BOX 1457,GADSDEN,AL,35902-1457,,"Other organization in GADSDEN, AL with annual revenue of approximately $37M",
UNIVERSITY OF PROVIDENCE,810231777,Education,1301 20TH ST S,GREAT FALLS,MT,59405-4934,,"Education organization in GREAT FALLS, MT with annual revenue of approximately $37M",
WILMINGTON COLLEGE,310537514,Education,1870 QUAKER WAY,WILMINGTON,OH,45177-2473,,"Education organization in WILMINGTON, OH with annual revenue of approximately $37M",
AHC INC,541026365,Human Services,2230 FAIRFAX DR STE 100,ARLINGTON,VA,22201-6617,,"Human Services organization in ARLINGTON, VA with annual revenue of approximately $37M",
JAMES B HAGGIN MEMORIAL HOSPITAL INC,610510934,Health,464 LINDEN AVE,HARRODSBURG,KY,40330-1882,,"Health organization in HARRODSBURG, KY with annual revenue of approximately $37M",
MARTHA OBRYAN CENTER INC,620477728,Religion,711 S 7TH ST,NASHVILLE,TN,37206-3815,,"Religion organization in NASHVILLE, TN with annual revenue of approximately $37M",
HOSPICE OF THE CHESAPEAKE,521181448,Other,90 RITCHIE HWY,PASADENA,MD,21122-4303,,"Other organization in PASADENA, MD with annual revenue of approximately $37M",
SANTA BARBARA FOUNDATION,951866094,Community,1111 CHAPALA ST STE 200,SANTA BARBARA,CA,93101-3100,,"Community organization in SANTA BARBARA, CA with annual revenue of approximately $37M",
FAMILY SERVICES INC,520730225,Human Services,610 E DIAMOND AVE STE M,GAITHERSBURG,MD,20877-5321,,"Human Services organization in GAITHERSBURG, MD with annual revenue of approximately $37M",
EAST ARKANSAS FAMILY HEALTH CENTER INC,237128104,Other,900 N 7TH ST,WEST MEMPHIS,AR,72301-2001,,"Other organization in WEST MEMPHIS, AR with annual revenue of approximately $37M",
THE ARC OF NORTHEAST INDIANA INC,350998711,Human Services,4919 COLDWATER RD,FORT WAYNE,IN,46825-5532,,"Human Services organization in FORT WAYNE, IN with annual revenue of approximately $37M",
MARKLUND CHILDRENS HOME,362652532,Human Services,1S450 WYATT DR,GENEVA,IL,60134-4921,,"Human Services organization in GENEVA, IL with annual revenue of approximately $37M",
LIFESTREAM INC,042743314,Health,444 MYRTLE ST,NEW BEDFORD,MA,02746-1682,,"Health organization in NEW BEDFORD, MA with annual revenue of approximately $37M",
ZAKAT FOUNDATION OF AMERICA,364476244,Other,PO BOX 639,WORTH,IL,60482-0639,,"Other organization in WORTH, IL with annual revenue of approximately $37M",
US CHAMBER OF COMMERCE FOUNDATION,461561597,Education,1615 H ST NW,WASHINGTON,DC,20062-0001,,"Education organization in WASHINGTON, DC with annual revenue of approximately $37M",
